股票代码,股票名称,命中策略数,来源策略,综合评分,建议买入价,建议仓位%,建议金额,最新价,止损价(下轨),止盈价(上轨),MA20
002267,陕天然气,1,Boll,50,6.9,12,11730.0,6.9,6.55,7.25,6.9
002271,东方雨虹,1,Boll,50,12.13,12,12130.0,12.13,11.52,12.74,12.13
002274,华昌化工,1,Boll,50,5.21,12,11983.0,5.21,4.95,5.47,5.21
002275,桂林三金,1,Boll,50,12.7,12,11430.0,12.7,12.06,13.33,12.7
002282,博深股份,1,Boll,50,6.06,12,12120.0,6.06,5.76,6.36,6.06
002287,奇正藏药,1,Boll,50,19.71,12,11826.0,19.71,18.72,20.7,19.71
002292,奥飞娱乐,1,Boll,50,6.74,12,12132.0,6.74,6.4,7.08,6.74
002295,精艺股份,1,Boll,50,9.5,12,12350.0,9.5,9.03,9.97,9.5
002296,辉煌科技,1,Boll,50,9.27,12,12051.0,9.27,8.81,9.73,9.27
002299,圣农发展,1,Boll,50,16.08,12,11256.0,16.08,15.28,16.88,16.08
002300,太阳电缆,1,Boll,50,7.41,12,11856.0,7.41,7.04,7.78,7.41
002315,焦点科技,1,Boll,50,24.1,12,12050.0,24.1,22.89,25.31,24.1
002319,乐通股份,1,Boll,50,11.01,12,12111.0,11.01,10.46,11.56,11.01
002334,英威腾,1,Boll,50,8.26,12,12390.0,8.26,7.85,8.67,8.26
002348,高乐股份,1,Boll,50,11.9,12,11900.0,11.9,11.3,12.5,11.9
002358,森源电气,1,Boll,50,5.77,12,12117.0,5.77,5.48,6.06,5.77
002363,隆基机械,1,Boll,50,6.6,12,11880.0,6.6,6.27,6.93,6.6
002365,永安药业,1,Boll,50,10.89,12,11979.0,10.89,10.35,11.43,10.89
002366,融发核电,1,Boll,50,5.96,12,11920.0,5.96,5.66,6.26,5.96
002369,卓翼科技,1,Boll,50,5.86,12,11720.0,5.86,5.57,6.15,5.86
002372,伟星新材,1,Boll,50,9.16,12,11908.0,9.16,8.7,9.62,9.16
002373,千方科技,1,Boll,50,7.22,12,12274.0,7.22,6.86,7.58,7.22
002383,合众思壮,1,Boll,50,7.2,12,12240.0,7.2,6.84,7.56,7.2
002389,航天彩虹,1,Boll,50,18.17,12,12719.0,18.17,17.26,19.08,18.17
002393,力生制药,1,Boll,50,14.0,12,12600.0,14.0,13.3,14.7,14.0
002399,海普瑞,1,Boll,50,9.17,12,11921.0,9.17,8.71,9.63,9.17
002405,四维图新,1,Boll,50,7.4,12,11840.0,7.4,7.03,7.77,7.4
002423,中粮资本,1,Boll,50,8.47,12,11858.0,8.47,8.05,8.89,8.47
002434,万里扬,1,Boll,50,6.81,12,12258.0,6.81,6.47,7.15,6.81
002439,启明星辰,1,Boll,50,12.89,12,11601.0,12.89,12.25,13.53,12.89
002440,闰土股份,1,Boll,50,8.47,12,11858.0,8.47,8.05,8.89,8.47
002451,摩恩电气,1,Boll,50,7.63,12,12208.0,7.63,7.25,8.01,7.63
002452,长高电气,1,Boll,50,10.74,12,11814.0,10.74,10.2,11.28,10.74
002461,珠江啤酒,1,Boll,50,8.93,12,11609.0,8.93,8.48,9.38,8.93
002493,荣盛石化,1,Boll,50,10.75,12,11825.0,10.75,10.21,11.29,10.75
002498,汉缆股份,1,Boll,50,7.21,12,12257.0,7.21,6.85,7.57,7.21
002500,山西证券,1,Boll,50,4.87,12,12175.0,4.87,4.63,5.11,4.87
002508,老板电器,1,Boll,50,16.41,12,11487.0,16.41,15.59,17.23,16.41
002511,中顺洁柔,1,Boll,50,6.76,12,12168.0,6.76,6.42,7.1,6.76
002517,恺英网络,1,Boll,50,14.18,12,11344.0,14.18,13.47,14.89,14.18
002529,海源复材,1,Boll,50,7.39,12,11824.0,7.39,7.02,7.76,7.39
002532,天山铝业,1,Boll,50,13.41,12,12069.0,13.41,12.74,14.08,13.41
002537,海联金汇,1,Boll,50,5.77,12,12117.0,5.77,5.48,6.06,5.77
