序号,股票代码,股票简称,最新价,阶段涨跌幅,连续换手率,资金流入净额
1418,548,湖南投资,5.36,-0.37%,3.36%,10447700.0
1420,600583,海油工程,5.39,-0.37%,3.28%,38028800.0
1433,600729,重庆百货,27.08,-0.40%,6.85%,29960500.0
1436,1227,兰州银行,2.4,-0.41%,4.03%,44823300.0
1438,600925,苏能股份,4.86,-0.41%,3.16%,28385700.0
1443,600971,恒源煤电,7.05,-0.42%,4.76%,33489500.0
1444,600429,三元股份,4.75,-0.42%,1.77%,2488600.0
1453,883,湖北能源,4.65,-0.43%,1.04%,4397700.0
1457,600561,江西长运,6.74,-0.44%,6.08%,1763600.0000000002
1458,600535,天士力,15.9,-0.44%,3.24%,38751400.0
1459,2687,乔治白,4.54,-0.44%,4.90%,2542900.0
1460,2682,龙洲股份,4.49,-0.44%,7.12%,1272400.0
1461,19,深粮控股,6.85,-0.44%,6.05%,16491500.0
1471,600597,光明乳业,8.51,-0.47%,1.89%,7695400.0
1473,2524,光正眼科,4.25,-0.47%,6.99%,2829700.0000000005
1478,300424,航新科技,16.52,-0.48%,17.49%,35606700.0
1480,625,长安汽车,12.48,-0.48%,14.40%,639000000.0
1483,603188,亚邦股份,4.08,-0.49%,9.46%,8731900.0
1490,600335,国机汽车,5.97,-0.50%,2.83%,6628700.0
1503,600178,东安动力,13.2,-0.53%,11.09%,11190500.0
1515,2484,江海股份,28.64,-0.56%,12.07%,187000000.0
1516,1217,华尔泰,12.19,-0.57%,5.04%,121400.0
1521,550,江铃汽车,20.83,-0.57%,5.71%,48147200.0
1526,544,中原环保,8.64,-0.58%,1.66%,1102400.0
1535,755,山西高速,4.96,-0.60%,1.21%,4514600.0
1543,603329,上海雅仕,11.2,-0.62%,4.18%,3328600.0
1549,301102,兆讯传媒,10.86,-0.64%,1.34%,1885500.0
1550,1219,青岛食品,13.87,-0.64%,3.37%,2902799.9999999995
1553,601211,国泰海通,18.7,-0.64%,2.43%,11037000.0
1559,603926,铁流股份,16.73,-0.65%,4.18%,18154800.0
1562,603299,苏盐井神,10.66,-0.65%,1.72%,2789400.0
1564,601098,中南传媒,12.31,-0.65%,1.74%,6931400.0
1565,600293,三峡新材,3.05,-0.65%,7.84%,8374100.0
1569,300733,西菱动力,18.14,-0.66%,5.49%,6024600.0
1572,601022,宁波远洋,10.45,-0.67%,65.32%,3690500.0
1577,600585,海螺水泥,23.74,-0.67%,3.42%,289000000.0
1580,619,海螺新材,5.88,-0.68%,5.12%,846600.0
1595,301309,万得凯,29.5,-0.71%,10.36%,1487300.0
1596,300795,米奥会展,13.93,-0.71%,3.42%,3149500.0
1602,600483,福能股份,9.8,-0.71%,3.06%,180000000.0
1607,300636,同和药业,8.35,-0.71%,5.90%,3205400.0
1610,2014,永新股份,11.23,-0.71%,0.97%,1693600.0000000002
1611,900,现代投资,4.18,-0.71%,2.32%,8129700.0
1612,800,一汽解放,6.97,-0.71%,1.10%,4423600.0
1614,688517,金冠电气,15.26,-0.72%,10.86%,15074200.0
1615,635,英力特,8.32,-0.72%,3.57%,162500.0
1620,688548,广钢气体,12.19,-0.73%,7.14%,4280800.0
1621,605118,力鼎光电,27.35,-0.73%,1.18%,2691900.0
1622,600883,博闻科技,8.16,-0.73%,3.77%,1195000.0
1623,600873,梅花生物,10.82,-0.73%,2.20%,68163100.0
1625,3039,顺控发展,13.39,-0.74%,1.18%,1426200.0
1628,898,鞍钢股份,2.7,-0.74%,1.71%,7062300.0
1633,603609,禾丰股份,7.93,-0.75%,1.69%,4520500.0
1637,300958,建工修复,13.12,-0.76%,12.29%,494900.0
1641,601000,唐山港,3.92,-0.76%,1.94%,45172700.00000001
1655,2198,嘉应制药,6.4,-0.78%,4.52%,13944500.0
1659,601018,宁波港,3.78,-0.79%,1.53%,8214800.0
1662,300187,永清环保,5.03,-0.79%,2.68%,50599.99999999999
1664,2187,广百股份,6.3,-0.79%,4.79%,4380800.0
1667,600713,南京医药,4.97,-0.80%,1.94%,2483200.0
1669,2494,华斯股份,4.96,-0.80%,7.28%,457900.0
1675,1260,坤泰股份,19.6,-0.81%,12.44%,1004500.0
1679,300977,深圳瑞捷,18.25,-0.82%,4.61%,2620299.9999999995
1680,603958,哈森股份,15.79,-0.82%,6.81%,17869300.0
1681,603223,恒通股份,9.65,-0.82%,2.95%,3383500.0
1697,603001,奥康国际,8.22,-0.84%,4.24%,1744600.0
1704,603137,恒尚节能,13.98,-0.85%,5.95%,2788300.0
1707,601326,秦港股份,3.48,-0.85%,1.90%,10158900.0
1712,2661,克明食品,9.38,-0.85%,2.58%,3932100.0
1726,600320,振华重工,4.55,-0.87%,7.53%,4005200.0
1730,1266,宏英智能,27.16,-0.88%,6.54%,270800.0
1735,300505,川金诺,21.44,-0.88%,34.58%,49489600.0
1736,2792,通宇通讯,18.06,-0.88%,24.15%,119000000.0
1764,600863,内蒙华电,4.24,-0.93%,2.84%,1049500.0
1765,300649,杭州园林,15.9,-0.93%,6.09%,8036300.0
1769,603209,兴通股份,14.73,-0.94%,2.69%,156800.0
1777,301292,海科新源,26.02,-0.95%,88.49%,95497000.0
1797,1259,利仁科技,25.35,-0.98%,5.55%,9109900.0
1808,2591,恒大高新,5.99,-0.99%,19.90%,1426100.0000000002
1817,534,万泽股份,15.79,-1.00%,5.57%,5631400.0
1824,603139,康惠股份,21.29,-1.02%,3.86%,764100.0
1831,582,北部湾港,8.74,-1.02%,3.64%,13185200.0
1832,603071,物产环能,14.43,-1.03%,1.90%,6094600.0
1871,603567,珍宝岛,11.77,-1.09%,3.78%,61824100.0
1873,2915,中欣氟材,24.55,-1.09%,16.08%,22584800.0
1877,507,珠海港,5.44,-1.09%,4.26%,4109200.0
1893,601928,凤凰传媒,10.58,-1.12%,1.90%,14561600.0
1910,2921,联诚精密,14.75,-1.14%,9.90%,3342200.0000000005
1913,601229,上海银行,9.49,-1.15%,2.05%,149000000.0
1934,601369,陕鼓动力,8.46,-1.17%,1.72%,28220300.000000004
1937,600726,华电能源,2.52,-1.18%,3.71%,7373000.0
1949,300737,科顺股份,5.0,-1.19%,3.79%,3707300.0
1950,605122,四方新材,13.24,-1.19%,3.81%,34000.0
1970,600802,福建水泥,5.65,-1.22%,8.55%,996900.0
1985,603006,联明股份,13.53,-1.24%,3.63%,4969100.0
1988,2697,红旗连锁,5.58,-1.24%,7.83%,10935300.0
2029,2803,吉宏股份,17.54,-1.29%,11.79%,13625200.0
2036,600137,浪莎股份,18.28,-1.30%,4.31%,3121700.0
