序号,股票代码,股票简称,最新价,阶段涨跌幅,连续换手率,资金流入净额
170,301001,凯淳股份,35.55,17.56%,60.41%,9511.72万
171,601179,中国西电,12.4,17.54%,26.45%,-1.83亿
172,2607,中公教育,3.29,17.50%,26.32%,-9864.60万
173,2712,思美传媒,7.06,17.47%,40.83%,-3531.69万
174,600475,华光环能,24.55,17.46%,14.77%,8259.55万
175,300045,华力创通,34.25,17.46%,90.61%,6.50亿
176,688221,前沿生物,27.55,17.43%,23.37%,4739.49万
177,603108,润达医疗,19.15,17.41%,53.05%,4.36亿
178,960,锡业股份,36.83,17.41%,11.35%,2.39亿
179,603067,振华股份,37.46,17.39%,17.35%,-2.37亿
180,688639,华恒生物,41.34,17.34%,26.97%,1.10亿
181,688500,慧辰股份,74.82,17.25%,34.48%,2.62亿
182,301077,星华新材,33.05,17.20%,42.25%,9401.10万
183,300977,深圳瑞捷,21.84,17.17%,18.60%,2652.44万
184,301382,蜂助手,42.27,17.12%,64.07%,5.19亿
185,300459,汤姆猫,6.0,16.96%,67.16%,11.66亿
186,2202,金风科技,33.95,16.91%,54.67%,-46.69亿
187,2865,钧达股份,80.09,16.87%,74.68%,-4623.10万
188,1896,豫能控股,6.38,16.85%,14.66%,-1.51亿
189,301315,威士顿,71.8,16.79%,90.83%,-4891.84万
190,688160,步科股份,162.5,16.78%,20.43%,1.39亿
191,601872,招商轮船,11.21,16.77%,6.00%,2.50亿
192,688369,致远互联,31.77,16.76%,39.44%,3763.74万
193,300182,捷成股份,6.64,16.70%,42.48%,9.91亿
194,2716,湖南白银,9.02,16.69%,42.18%,5.50亿
195,2605,姚记科技,28.31,16.69%,33.98%,5.60亿
196,600094,大名城,5.25,16.67%,14.19%,-2.02亿
197,301055,张小泉,24.12,16.63%,12.90%,4072.38万
198,2609,捷顺科技,11.01,16.63%,27.32%,1.47亿
199,300996,普联软件,19.93,16.55%,40.62%,2.79亿
200,301280,珠城科技,58.39,16.36%,51.22%,8852.45万
201,300592,华凯易佰,12.8,16.36%,35.42%,2.00亿
202,603138,海量数据,17.36,16.20%,24.49%,3938.07万
203,600962,国投中鲁,23.91,16.18%,19.51%,6708.52万
204,300062,中能电气,10.5,16.15%,73.72%,-7512.71万
205,688543,国科军工,73.46,16.05%,75.18%,-4.87亿
206,1330,博纳影业,9.11,16.05%,35.11%,1.89亿
207,688625,呈和科技,62.32,16.05%,14.61%,646.87万
208,2429,兆驰股份,8.76,16.03%,15.19%,5.28亿
209,300496,中科创达,83.73,15.87%,37.99%,9.56亿
210,603039,泛微网络,65.9,15.86%,12.32%,1.88亿
211,301047,义翘神州,82.02,15.85%,7.82%,8437.97万
212,2569,*ST步森,15.79,15.76%,4.48%,-1617.97万
213,300379,东通退,1.91,15.76%,24.47%,0.00万
214,691,*ST亚太,9.92,15.75%,3.85%,-1.01亿
215,601900,南方传媒,15.31,15.63%,14.22%,1.98亿
216,300433,蓝思科技,39.18,15.58%,17.34%,13.94亿
217,300242,佳云科技,5.87,15.55%,42.36%,3839.23万
218,2195,岩山科技,11.99,15.51%,88.44%,22.64亿
219,300862,蓝盾光电,27.28,15.45%,62.45%,3.37亿
220,688196,卓越新能,72.81,15.35%,10.26%,-1434.53万
221,2796,世嘉科技,34.58,15.34%,53.78%,9581.13万
222,917,电广传媒,12.64,15.33%,53.19%,2976.00万
