股票代码,股票名称,来源策略,建议买入价
002917,金奥博,Boll,11.5
002932,*ST明德,Boll,15.0
002966,苏州银行,Boll,7.9
002976,瑞玛精密,Boll,20.84
002981,朝阳科技,Boll,22.99
003005,竞业达,Boll,14.57
600012,皖通高速,Boll,15.9
600018,上港集团,Boll,4.95
600032,浙江新能,Boll,8.35
600051,宁波联合,Boll,6.15
600056,中国医药,Boll,9.0
600062,华润双鹤,Boll,16.76
600079,ST人福,Boll,16.99
600085,同仁堂,Boll,23.84
600088,中视传媒,Boll,13.24
600116,三峡水利,Boll,6.26
600127,金健米业,Boll,5.73
600129,太极集团,Boll,13.21
600153,建发股份,Boll,8.80784653
600158,中体产业,Boll,8.06
600161,天坛生物,Boll,12.46
600197,伊力特,Boll,10.3
600223,福瑞达,Boll,5.5
600233,圆通速递,Boll,16.58
600250,南京商旅,Boll,8.72
600256,广汇能源,Boll,5.6
600289,ST信通,Boll,5.53
600299,XD安迪苏,Boll,9.78
600305,恒顺醋业,Boll,6.69
600313,农发种业,Boll,5.78
600323,瀚蓝环境,Boll,28.89
600348,华阳股份,Boll,8.58
600350,山东高速,Boll,10.65
600356,恒丰纸业,Boll,8.1
600359,新农开发,Boll,6.23
600371,万向德农,Boll,6.89
600461,洪城环境,Boll,8.75
600488,津药药业,Boll,4.77
600546,山煤国际,Boll,12.72
600548,深高速,Boll,8.6
600566,济川药业,Boll,24.83
600583,海油工程,Boll,5.4
600587,新华医疗,Boll,12.34
600588,用友网络,Boll,9.95
600595,中孚实业,Boll,6.35
600597,光明乳业,Boll,6.66
600598,北大荒,Boll,14.02
600628,新世界,Boll,6.11
600639,浦东金桥,Boll,9.62
600644,乐山电力,Boll,10.01761295
600648,外高桥,Boll,8.68
600679,上海凤凰,Boll,9.34
600697,欧亚集团,Boll,10.56
600706,曲江文旅,Boll,7.49
600720,中交设计,Boll,5.47
600722,金牛化工,Boll,9.31
600741,华域汽车,Boll,16.49
600771,广誉远,Boll,13.83
600783,鲁信创投,Boll,20.78
600817,宇通重工,Boll,9.14
600820,隧道股份,Boll,5.43
600846,同济科技,Boll,9.8
600848,上海临港,Boll,7.79
600867,通化东宝,Boll,7.48
600873,梅花生物,Boll,8.59
600887,伊利股份,Boll,24.8
600903,贵州燃气,Boll,8.3
600975,新五丰,Boll,4.61
600987,航民股份,Boll,6.47
600989,宝丰能源,Boll,22.02
600992,贵绳股份,Boll,10.05
600993,马应龙,Boll,23.27
600997,开滦股份,Boll,5.14
601019,山东出版,Boll,6.68
601033,永兴股份,Boll,13.69
601065,江盐集团,Boll,7.17
601098,XD中南传,Boll,10.6
601107,四川成渝,Boll,5.49
601139,深圳燃气,Boll,6.06
601200,上海环境,Boll,7.2
601298,青岛港,Boll,8.45
601566,九牧王,Boll,9.65
601579,会稽山,Boll,15.5
601598,中国外运,Boll,5.45943098
601607,上海医药,Boll,16.15
601677,明泰铝业,Boll,16.5
601702,华峰铝业,Boll,16.98
601800,中国交建,Boll,6.17
601808,中海油服,Boll,12.07
601825,沪农商行,Boll,8.25
601857,中国石油,Boll,9.68
601919,中远海控,Boll,13.79
601952,苏垦农发,Boll,8.18
601966,玲珑轮胎,Boll,11.48701616
603000,人民网,Boll,16.26
603006,联明股份,Boll,12.85
603021,*ST华鹏,Boll,6.25
603033,三维股份,Boll,9.42
603035,常熟汽饰,Boll,11.49
603043,广州酒家,Boll,13.71
603055,台华新材,Boll,8.1
603057,紫燕食品,Boll,23.43
603081,大丰实业,Boll,9.5
603098,森特股份,Boll,11.66
603100,川仪股份,Boll,17.8
603107,上海汽配,Boll,12.42
603128,华贸物流,Boll,5.3
603136,天目湖,Boll,8.92
603153,上海建科,Boll,13.68
603167,XD渤海轮,Boll,8.6
603180,金牌家居,Boll,14.99
603193,润本股份,Boll,21.07
603208,江山欧派,Boll,11.34
603221,爱丽家居,Boll,11.97
603227,雪峰科技,Boll,7.89
603229,奥翔药业,Boll,8.45
603230,内蒙新华,Boll,9.45
603231,索宝蛋白,Boll,14.72
603237,五芳斋,Boll,14.64
603258,电魂网络,Boll,13.13
603262,技源集团,Boll,26.44
603277,银都股份,Boll,10.64
603291,联合水务,Boll,9.06
603313,梦百合,Boll,5.17
603326,我乐家居,Boll,6.77
603351,威尔药业,Boll,24.69
603357,设计总院,Boll,6.49
603365,水星家纺,Boll,16.81
603385,惠达卫浴,Boll,5.32
603392,万泰生物,Boll,28.9
603466,风语筑,Boll,10.46
603517,ST绝味,Boll,11.54
603518,锦泓集团,Boll,7.96
603536,惠发食品,Boll,8.72
603551,奥普科技,Boll,9.52
603569,长久物流,Boll,5.47
603587,地素时尚,Boll,11.95
603609,禾丰股份,Boll,6.05
603611,诺力股份,Boll,17.39
603619,中曼石油,Boll,22.92
603639,海利尔,Boll,10.71
603676,卫信康,Boll,8.53
603677,奇精机械,Boll,14.36
603682,锦和商管,Boll,8.09
603689,皖天然气,Boll,7.66
603706,东方环宇,Boll,19.91
603708,家家悦,Boll,9.27
603717,天域生物,Boll,6.2
603766,隆鑫通用,Boll,11.5
603768,常青股份,Boll,10.35
603808,歌力思,Boll,8.74
603809,豪能股份,Boll,9.85
603836,海程邦达,Boll,8.19869643
603863,松炀资源,Boll,14.76
603927,中科软,Boll,14.3
603939,益丰药房,Boll,19.78
603967,中创物流,Boll,11.51
603970,中农立华,Boll,10.6
603998,方盛制药,Boll,9.55
605009,豪悦护理,Boll,22.29
605088,冠盛股份,Boll,32.06
605136,丽人丽妆,Boll,8.15
605138,盛泰集团,Boll,6.11
605199,ST葫芦娃,Boll,6.27
605266,健之佳,Boll,16.15
605336,*ST帅电,Boll,15.52
605337,李子园,Boll,8.81
605577,龙版传媒,Boll,9.58
603065,宿迁联盛,Relativity,14.45
000608,阳光股份,Relativity,7.16
603608,天创时尚,Relativity,28.69
000510,新金路,Relativity,22.95
603011,合锻智能,Relativity,34.6
600110,诺德股份,Relativity,15.65
605006,山东玻纤,Relativity,23.98
600869,XD远东股,Relativity,33.99
002585,双星新材,Relativity,14.01
002735,王子新材,Relativity,21.44
600226,亨通股份,Relativity,8.75
002645,华宏科技,Relativity,33.63
