日期,板块,热度分,置信度,股票代码,股票名称,匹配线索
20260813,航空机场,4.0,观察,600316,洪都航空,航空|机场|民航|飞机
20260813,航空机场,4.0,观察,600515,海南机场,航空|机场|民航|飞机
20260813,航空机场,4.0,观察,601021,春秋航空,航空|机场|民航|飞机
20260813,航空机场,4.0,观察,603885,吉祥航空,航空|机场|民航|飞机
20260813,军工,3.0,观察,002151,北斗星通,军工|国防|航空发动机|卫星
20260813,军工,3.0,观察,002648,卫星化学,军工|国防|航空发动机|卫星
20260813,军工,3.0,观察,600118,中国卫星,军工|国防|航空发动机|卫星
20260813,军工,3.0,观察,600150,中国船舶,军工|国防|航空发动机|卫星
20260813,军工,3.0,观察,601606,长城军工,军工|国防|航空发动机|卫星
20260813,军工,3.0,观察,688543,国科军工,军工|国防|航空发动机|卫星
20260813,通信,3.0,观察,000586,汇源通信,通信|5g|6g|光纤
20260813,通信,3.0,观察,002115,三维通信,通信|5g|6g|光纤
20260813,通信,3.0,观察,002446,盛路通信,通信|5g|6g|光纤
20260813,通信,3.0,观察,002465,海格通信,通信|5g|6g|光纤
20260813,通信,3.0,观察,300136,信维通信,通信|5g|6g|光纤
20260813,通信,3.0,观察,300394,天孚通信,通信|5g|6g|光纤
20260813,通信,3.0,观察,300590,移为通信,通信|5g|6g|光纤
20260813,通信,3.0,观察,300597,吉大通信,通信|5g|6g|光纤
20260813,通信,3.0,观察,300711,广哈通信,通信|5g|6g|光纤
20260813,通信,3.0,观察,600345,长江通信,通信|5g|6g|光纤
20260813,通信,3.0,观察,600498,烽火通信,通信|5g|6g|光纤
20260813,通信,3.0,观察,600776,东方通信,通信|5g|6g|光纤
20260813,通信,3.0,观察,601869,长飞光纤,通信|5g|6g|光纤
20260813,通信,3.0,观察,603220,中贝通信,通信|5g|6g|光纤
20260813,通信,3.0,观察,603236,移远通信,通信|5g|6g|光纤
20260813,通信,3.0,观察,603602,纵横通信,通信|5g|6g|光纤
20260813,通信,3.0,观察,688618,三旺通信,通信|5g|6g|光纤
20260813,通信,3.0,观察,688653,康希通信,通信|5g|6g|光纤
20260813,通信,3.0,观察,688702,盛科通信,通信|5g|6g|光纤
20260813,食品,2.0,观察,001219,青岛食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,002124,天邦食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,002216,三全食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,002481,双塔食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,002557,洽洽食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,002661,克明食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,002702,海欣食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,002956,西麦食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,002991,甘源食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,003000,劲仔食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,300268,佳沃食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,300892,品渥食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,300908,仲景食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,300973,立高食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,301116,益客食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,603057,紫燕食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,603170,宝立食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,603317,天味食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,603345,安井食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,603536,惠发食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,603696,安记食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,603697,有友食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,605179,一鸣食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,605300,佳禾食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,605338,巴比食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,605339,南侨食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,605567,春雪食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,920422,润普食品,食品|休闲食品|调味品|乳制品
20260813,食品,2.0,观察,920826,盖世食品,食品|休闲食品|调味品|乳制品
