序号,股票代码,股票简称,最新价,阶段涨跌幅,连续换手率,资金流入净额
4622,301079,邵阳液压,32.65,-1.89%,71.91%,-101000000.0
4623,600583,海油工程,5.65,-1.91%,8.06%,-209000000.0
4624,600782,新钢股份,4.09,-1.92%,10.69%,-55359399.99999999
4625,600546,山煤国际,10.23,-1.92%,5.39%,-186000000.0
4626,300093,*ST金刚,13.26,-1.92%,11.01%,-47764799.99999999
4627,300802,矩子科技,21.46,-1.92%,31.84%,-135000000.0
4628,408,藏格矿业,49.56,-1.92%,3.04%,-96458900.0
4629,301358,湖南裕能,34.58,-1.93%,19.11%,-355000000.0
4630,603755,日辰股份,28.0,-1.93%,7.61%,-38048900.0
4631,937,冀中能源,6.1,-1.93%,2.93%,-44546200.0
4632,953,河化股份,7.57,-1.94%,34.99%,-104000000.0
4633,600211,西藏药业,46.04,-1.94%,17.88%,-326000000.0
4634,300819,聚杰微纤,26.52,-1.96%,27.00%,-69223500.0
4635,603456,九洲药业,18.41,-1.97%,18.04%,-269000000.0
4636,601168,西部矿业,17.94,-1.97%,6.96%,-292000000.0
4637,300279,和晶科技,8.46,-1.97%,50.13%,-271000000.0
4638,590,启迪药业,12.44,-1.97%,23.71%,-92545200.0
4639,895,双汇发展,24.73,-1.98%,2.13%,-166000000.0
4640,301320,豪江智能,21.68,-1.99%,38.87%,-46192299.99999999
