日期,板块,热度分,置信度,股票代码,股票名称,匹配线索
20260213,机器人,1.8,观察,300024,机器人,机器人|人形机器人|工业机器人|减速器
20260213,电力,0.0,观察,301439,泓淋电力,电力|火电|水电|核电
20260213,电力,0.0,观察,301609,山大电力,电力|火电|水电|核电
20260213,电力,0.0,观察,600021,上海电力,电力|火电|水电|核电
20260213,电力,0.0,观察,600023,浙能电力,电力|火电|水电|核电
20260213,电力,0.0,观察,600101,明星电力,电力|火电|水电|核电
20260213,电力,0.0,观察,600236,桂冠电力,电力|火电|水电|核电
20260213,电力,0.0,观察,600292,电投水电,电力|火电|水电|核电
20260213,电力,0.0,观察,600452,涪陵电力,电力|火电|水电|核电
20260213,电力,0.0,观察,600505,西昌电力,电力|火电|水电|核电
20260213,电力,0.0,观察,600578,京能电力,电力|火电|水电|核电
20260213,电力,0.0,观察,600644,乐山电力,电力|火电|水电|核电
20260213,电力,0.0,观察,600744,华银电力,电力|火电|水电|核电
20260213,电力,0.0,观察,600795,国电电力,电力|火电|水电|核电
20260213,电力,0.0,观察,600831,广电网络,电力|火电|水电|核电
20260213,电力,0.0,观察,600886,国投电力,电力|火电|水电|核电
20260213,电力,0.0,观察,600900,长江电力,电力|火电|水电|核电
20260213,电力,0.0,观察,601016,节能风电,电力|火电|水电|核电
20260213,电力,0.0,观察,601985,中国核电,电力|火电|水电|核电
20260213,电力,0.0,观察,601991,大唐发电,电力|火电|水电|核电
20260213,电力,0.0,观察,603530,神马电力,电力|火电|水电|核电
20260213,电力,0.0,观察,603556,海兴电力,电力|火电|水电|核电
20260213,电力,0.0,观察,688597,煜邦电力,电力|火电|水电|核电
20260213,电力,0.0,观察,688660,电气风电,电力|火电|水电|核电
20260213,电力,0.0,观察,920046,亿能电力,电力|火电|水电|核电
20260213,电力,0.0,观察,920299,灿能电力,电力|火电|水电|核电
20260213,汽车,0.0,观察,000550,江铃汽车,汽车|整车|汽车零部件|乘用车
20260213,汽车,0.0,观察,000572,海马汽车,汽车|整车|汽车零部件|乘用车
20260213,汽车,0.0,观察,000625,长安汽车,汽车|整车|汽车零部件|乘用车
20260213,汽车,0.0,观察,000980,众泰汽车,汽车|整车|汽车零部件|乘用车
20260213,汽车,0.0,观察,301560,众捷汽车,汽车|整车|汽车零部件|乘用车
20260213,汽车,0.0,观察,600166,福田汽车,汽车|整车|汽车零部件|乘用车
20260213,汽车,0.0,观察,600335,国机汽车,汽车|整车|汽车零部件|乘用车
20260213,汽车,0.0,观察,600418,江淮汽车,汽车|整车|汽车零部件|乘用车
20260213,汽车,0.0,观察,600609,金杯汽车,汽车|整车|汽车零部件|乘用车
20260213,汽车,0.0,观察,600686,金龙汽车,汽车|整车|汽车零部件|乘用车
20260213,汽车,0.0,观察,600741,华域汽车,汽车|整车|汽车零部件|乘用车
20260213,汽车,0.0,观察,600960,渤海汽车,汽车|整车|汽车零部件|乘用车
20260213,汽车,0.0,观察,601279,英利汽车,汽车|整车|汽车零部件|乘用车
20260213,汽车,0.0,观察,601633,长城汽车,汽车|整车|汽车零部件|乘用车
20260213,汽车,0.0,观察,603982,泉峰汽车,汽车|整车|汽车零部件|乘用车
20260213,汽车,0.0,观察,920030,德众汽车,汽车|整车|汽车零部件|乘用车
20260213,农业,-0.3000000000000007,观察,000816,智慧农业,农业|种业|养殖|猪肉
20260213,农业,-0.3000000000000007,观察,000860,顺鑫农业,农业|种业|养殖|猪肉
20260213,农业,-0.3000000000000007,观察,001313,粤海饲料,农业|种业|养殖|猪肉
20260213,农业,-0.3000000000000007,观察,002041,登海种业,农业|种业|养殖|猪肉
20260213,农业,-0.3000000000000007,观察,002321,华英农业,农业|种业|养殖|猪肉
20260213,农业,-0.3000000000000007,观察,300189,神农种业,农业|种业|养殖|猪肉
20260213,农业,-0.3000000000000007,观察,600313,农发种业,农业|种业|养殖|猪肉
20260213,农业,-0.3000000000000007,观察,600354,敦煌种业,农业|种业|养殖|猪肉
20260213,农业,-0.3000000000000007,观察,601288,农业银行,农业|种业|养殖|猪肉
20260213,农业,-0.3000000000000007,观察,920087,秋乐种业,农业|种业|养殖|猪肉
20260213,农业,-0.3000000000000007,观察,920403,康农种业,农业|种业|养殖|猪肉
