序号,代码,名称,研报数,机构投资评级(近六个月)-买入,机构投资评级(近六个月)-增持,机构投资评级(近六个月)-中性,机构投资评级(近六个月)-减持,机构投资评级(近六个月)-卖出,2024预测每股收益,2025预测每股收益,2026预测每股收益,2027预测每股收益
76,002648,卫星化学,27,21.0,6.0,0.0,0.0,0.0,1.802456021568,1.902592592593,2.352222222222,2.891923076923
77,301498,乖宝宠物,27,15.0,12.0,0.0,0.0,0.0,1.559959590618,1.904275862069,2.447551724138,3.087964285714
78,000157,中联重科,27,23.0,4.0,0.0,0.0,0.0,0.407048989693,0.572555555556,0.705222222222,0.845692307692
79,300015,爱尔眼科,27,19.0,7.0,1.0,0.0,0.0,0.381330248732,0.429038461538,0.493076923077,0.56592
80,601088,中国神华,27,20.0,7.0,0.0,0.0,0.0,2.952962783986,2.548518518519,2.636666666667,2.709615384615
81,603259,药明康德,26,23.0,3.0,0.0,0.0,0.0,3.167251199362,4.855555555556,5.035185185185,5.865384615385
82,603225,新凤鸣,26,21.0,5.0,0.0,0.0,0.0,0.721834221502,0.974615384615,1.227692307692,1.472
83,000921,海信家电,26,17.0,9.0,0.0,0.0,0.0,2.417485480853,2.653461538462,2.957692307692,3.2808
84,688041,海光信息,26,21.0,5.0,0.0,0.0,0.0,0.830770066535,1.356153846154,2.009615384615,2.810384615385
85,300888,稳健医疗,26,20.0,6.0,0.0,0.0,0.0,1.194132464399,1.764923076923,2.112615384615,2.49096
86,600036,招商银行,26,18.0,8.0,0.0,0.0,0.0,5.883898036002,5.85,6.061538461538,6.3556
87,688012,中微公司,26,18.0,8.0,0.0,0.0,0.0,2.580352721241,3.650346153846,5.106461538462,6.722038461538
88,002003,伟星股份,26,21.0,5.0,0.0,0.0,0.0,0.599145116584,0.5968,0.6692,0.754166666667
89,600060,海信视像,26,16.0,10.0,0.0,0.0,0.0,1.721275909357,1.967192307692,2.211846153846,2.4642
90,601138,工业富联,25,17.0,8.0,0.0,0.0,0.0,1.169113412185,1.588695652174,2.177782608696,2.6185
91,601127,赛力斯,25,22.0,3.0,0.0,0.0,0.0,3.640301714223,6.142653846154,8.060884615385,9.614692307692
92,000625,长安汽车,25,21.0,4.0,0.0,0.0,0.0,0.738480970705,0.748,0.9384,1.147916666667
93,601898,中煤能源,25,18.0,7.0,0.0,0.0,0.0,1.457381895674,1.2292,1.3188,1.393333333333
94,002415,海康威视,25,19.0,6.0,0.0,0.0,0.0,1.306873419687,1.4848,1.68136,1.920916666667
95,003006,百亚股份,25,17.0,8.0,0.0,0.0,0.0,0.669551827556,0.844384615385,1.1165,1.44784
96,002991,甘源食品,25,18.0,6.0,1.0,0.0,0.0,4.035692271091,3.079384615385,4.037307692308,4.79044
97,000893,亚钾国际,25,19.0,6.0,0.0,0.0,0.0,1.028585772641,1.99888,2.8786,3.67768
98,300896,爱美客,25,15.0,10.0,0.0,0.0,0.0,6.469425639492,5.95152,6.89644,7.876333333333
99,603195,公牛集团,25,19.0,6.0,0.0,0.0,0.0,2.362177180225,2.77048,2.998,3.256333333333
100,600398,海澜之家,25,22.0,3.0,0.0,0.0,0.0,0.449449482953,0.505,0.57212,0.640083333333
101,603833,欧派家居,25,19.0,5.0,1.0,0.0,0.0,4.266793749407,4.479423076923,4.800653846154,5.17268
102,300957,贝泰妮,25,15.0,7.0,3.0,0.0,0.0,1.187567483782,1.466,1.77,2.04125
103,300662,科锐国际,25,18.0,7.0,0.0,0.0,0.0,1.043411240183,1.4464,1.7524,2.120416666667
104,600031,三一重工,25,20.0,5.0,0.0,0.0,0.0,0.705118713431,1.027,1.2926,1.59175
105,002984,森麒麟,25,20.0,5.0,0.0,0.0,0.0,2.110290318584,1.762,2.19868,2.495391304348
106,002938,鹏鼎控股,25,18.0,7.0,0.0,0.0,0.0,1.561808332233,1.8804,2.3208,2.724583333333
107,920982,锦波生物,25,20.0,5.0,0.0,0.0,0.0,6.364224191055,9.619,13.17808,17.101625
108,300378,鼎捷数智,25,20.0,5.0,0.0,0.0,0.0,0.573502166325,0.7492,0.9456,1.16875
109,002273,水晶光电,24,18.0,6.0,0.0,0.0,0.0,0.740560740668,0.89,1.08375,1.287391304348
110,300633,开立医疗,24,13.0,11.0,0.0,0.0,0.0,0.329080873219,0.6696,0.95,1.23875
111,601601,中国太保,24,20.0,4.0,0.0,0.0,0.0,4.673430793523,4.9335,5.4235,6.077368421053
112,603939,益丰药房,24,16.0,8.0,0.0,0.0,0.0,1.260767663818,1.44656,1.66992,1.90975
113,002126,银轮股份,24,19.0,5.0,0.0,0.0,0.0,0.928732092694,1.2435,1.583708333333,1.936608695652
114,600415,小商品城,24,17.0,6.0,1.0,0.0,0.0,0.56052599565,0.803,1.078125,1.280166666667
115,002271,东方雨虹,24,16.0,8.0,0.0,0.0,0.0,0.045285396663,0.562083333333,0.747083333333,0.927391304348
116,002946,新乳业,24,16.0,8.0,0.0,0.0,0.0,0.624730288672,0.809166666667,0.963333333333,1.118260869565
117,601838,成都银行,24,17.0,6.0,1.0,0.0,0.0,3.033756308633,3.245652173913,3.514782608696,3.822727272727
118,601225,陕西煤业,24,20.0,4.0,0.0,0.0,0.0,2.306321460976,1.817916666667,1.932916666667,2.06652173913
119,000526,学大教育,24,21.0,3.0,0.0,0.0,0.0,1.474509017311,2.154260869565,2.70052173913,3.290304347826
120,603296,华勤技术,24,19.0,5.0,0.0,0.0,0.0,2.880836899106,3.8635,4.811791666667,5.806347826087
121,300033,同花顺,24,17.0,7.0,0.0,0.0,0.0,3.391493099014,4.872,5.9652,6.937916666667
122,603919,金徽酒,24,11.0,13.0,0.0,0.0,0.0,0.76518647391,0.770041666667,0.840083333333,0.955304347826
123,300487,蓝晓科技,23,18.0,5.0,0.0,0.0,0.0,1.550706326601,1.952869565217,2.414826086957,2.957045454545
124,603129,春风动力,23,14.0,9.0,0.0,0.0,0.0,9.645981588013,12.361304347826,15.612608695652,18.98
125,002508,老板电器,23,15.0,6.0,2.0,0.0,0.0,1.669314881662,1.738695652174,1.841739130435,1.96
126,002027,分众传媒,23,18.0,5.0,0.0,0.0,0.0,0.356967375762,0.388608695652,0.42952173913,0.463090909091
127,000063,中兴通讯,23,17.0,6.0,0.0,0.0,0.0,1.761206346147,1.782869565217,1.927086956522,2.149772727273
128,002624,完美世界,23,15.0,8.0,0.0,0.0,0.0,-0.663700636307,0.400086956522,0.796826086957,0.9095
129,603501,豪威集团,23,17.0,6.0,0.0,0.0,0.0,2.754717506525,3.69652173913,4.752086956522,5.806260869565
130,002050,三花智控,23,16.0,7.0,0.0,0.0,0.0,0.736331590511,0.941304347826,1.11547826087,1.328047619048
131,603298,杭叉集团,23,11.0,12.0,0.0,0.0,0.0,1.543752556356,1.703391304348,1.910695652174,2.158409090909
132,300059,东方财富,23,18.0,5.0,0.0,0.0,0.0,0.608080095813,0.755454545455,0.859545454545,0.946666666667
133,601318,中国平安,23,20.0,3.0,0.0,0.0,0.0,6.991909826523,7.305263157895,8.188421052632,9.082777777778
