代码,名称,上市日期,累计股息,年均股息,分红次数,融资总额,融资次数
603360,百傲化学,2017-02-06,22.7,2.52,8,2.5898,1
000876,新希望,1998-03-11,22.6,0.84,18,69.8046,2
002105,信隆健康,2007-01-12,22.6,1.19,14,2.132,1
002106,莱宝高科,2007-01-12,22.6,1.19,18,26.3236,2
002152,广电运通,2007-08-13,22.6,1.25,18,43.9553,3
600292,远达环保,2000-11-01,22.6,0.9,20,31.891,2
601568,北元集团,2020-10-20,22.6,4.51,6,34.3999,1
603368,柳药集团,2014-12-04,22.6,2.05,11,28.4525,3
603682,锦和商管,2020-04-21,22.6,4.52,6,6.8528,1
603801,志邦家居,2017-06-30,22.6,2.83,8,8.4937,1
000666,经纬纺机,1996-12-10,22.5,0.83,25,9.0365,1
002614,奥佳华,2011-09-09,22.5,1.6,14,14.7499,1
002802,洪汇新材,2016-06-29,22.5,2.5,12,2.285,1
600320,振华重工,2000-12-21,22.5,0.9,31,35.3406,1
600928,西安银行,2019-03-01,22.5,3.75,7,20.0428,1
603726,朗迪集团,2016-04-21,22.5,2.5,9,2.3189,1
000063,中兴通讯,1997-11-18,22.4,0.8,23,114.594,1
