成交时间,股票代码,股票简称,成交价格,成交量,成交额,大单性质,涨跌幅,涨跌额
2025-08-12 15:00:00,301533,威马农机,44.84,20500,91.92,卖盘,2.52%,1.13
2025-08-12 15:00:00,301529,福赛科技,72.8,10300,74.98,卖盘,1.66%,1.21
2025-08-12 15:00:00,301529,福赛科技,72.8,17800,129.58,卖盘,1.66%,1.21
2025-08-12 15:00:00,301568,思泰克,43.87,16300,71.51,买盘,-1.70%,-0.75
2025-08-12 15:00:00,301517,陕西华达,50.35,73700,371.08,买盘,-1.27%,-0.64
2025-08-12 15:00:00,301488,豪恩汽电,77.27,7000,54.09,买盘,3.16%,2.44
2025-08-12 15:00:00,301488,豪恩汽电,77.27,22500,173.86,卖盘,3.16%,2.44
2025-08-12 15:00:00,301488,豪恩汽电,77.27,12800,98.91,买盘,3.16%,2.44
2025-08-12 15:00:00,301357,北方长龙,154.56,26000,401.86,卖盘,-2.42%,-3.75
2025-08-12 15:00:00,301357,北方长龙,154.56,6800,105.1,买盘,-2.42%,-3.75
2025-08-12 15:00:00,301357,北方长龙,154.56,3600,55.64,卖盘,-2.42%,-3.75
2025-08-12 15:00:00,301357,北方长龙,154.56,12800,197.84,卖盘,-2.42%,-3.75
2025-08-12 15:00:00,301357,北方长龙,154.56,3500,54.1,买盘,-2.42%,-3.75
2025-08-12 15:00:00,301408,华人健康,15.38,37200,57.21,卖盘,0.72%,0.11
2025-08-12 15:00:00,301357,北方长龙,154.56,6100,94.28,买盘,-2.42%,-3.75
2025-08-12 15:00:00,301333,诺思格,54.86,9800,53.76,买盘,-0.56%,-0.31
2025-08-12 15:00:00,301316,慧博云通,51.8,71400,369.85,卖盘,3.08%,1.6
2025-08-12 15:00:00,301316,慧博云通,51.8,15500,80.29,买盘,3.08%,1.6
2025-08-12 15:00:00,301316,慧博云通,51.8,11000,56.98,买盘,3.08%,1.6
2025-08-12 15:00:00,301316,慧博云通,51.8,10600,54.91,买盘,3.08%,1.6
2025-08-12 15:00:00,301316,慧博云通,51.8,81200,420.62,买盘,3.08%,1.6
2025-08-12 15:00:00,301261,恒工精密,81.61,7700,62.84,卖盘,-0.54%,-0.44
2025-08-12 15:00:00,301398,星源卓镁,43.91,12500,54.89,买盘,9.66%,4.24
2025-08-12 15:00:00,301398,星源卓镁,43.91,30000,131.73,买盘,9.66%,4.24
2025-08-12 15:00:00,301261,恒工精密,81.61,8100,66.1,买盘,-0.54%,-0.44
2025-08-12 15:00:00,301259,艾布鲁,42.6,13730,58.49,卖盘,6.77%,2.88
2025-08-12 15:00:00,301259,艾布鲁,42.6,42900,182.75,卖盘,6.77%,2.88
2025-08-12 15:00:00,301398,星源卓镁,43.91,24400,107.14,买盘,9.66%,4.24
2025-08-12 15:00:00,301259,艾布鲁,42.6,38100,162.31,买盘,6.77%,2.88
2025-08-12 15:00:00,301398,星源卓镁,43.91,16040,70.43,卖盘,9.66%,4.24
2025-08-12 15:00:00,301259,艾布鲁,42.6,14700,62.62,卖盘,6.77%,2.88
2025-08-12 15:00:00,301382,蜂助手,34.4,20900,71.9,买盘,-4.10%,-1.41
2025-08-12 15:00:00,301258,富士莱,39.02,34100,133.06,买盘,4.22%,1.65
2025-08-12 15:00:00,301258,富士莱,39.02,49900,194.71,买盘,4.22%,1.65
2025-08-12 15:00:00,301382,蜂助手,34.4,30000,103.2,买盘,-4.10%,-1.41
2025-08-12 15:00:00,301382,蜂助手,34.4,19900,68.46,买盘,-4.10%,-1.41
2025-08-12 15:00:00,301382,蜂助手,34.4,27100,93.22,买盘,-4.10%,-1.41
2025-08-12 15:00:00,301382,蜂助手,34.4,49600,170.62,买盘,-4.10%,-1.41
2025-08-12 15:00:00,301251,威尔高,57.52,25300,145.53,买盘,3.29%,1.89
2025-08-12 15:00:00,301335,天元宠物,32.18,21300,68.54,卖盘,0.28%,0.09
2025-08-12 15:00:00,301251,威尔高,57.52,26300,151.28,买盘,3.29%,1.89
2025-08-12 15:00:00,301251,威尔高,57.52,22600,130.0,买盘,3.29%,1.89
2025-08-12 15:00:00,301251,威尔高,57.52,10200,58.67,买盘,3.29%,1.89
2025-08-12 15:00:00,301251,威尔高,57.52,10000,57.52,卖盘,3.29%,1.89
2025-08-12 15:00:00,301323,新莱福,56.98,13100,74.64,买盘,8.47%,4.83
2025-08-12 15:00:00,301213,观想科技,68.48,16100,110.25,买盘,-2.20%,-1.51
2025-08-12 15:00:00,301213,观想科技,68.48,9500,65.06,买盘,-2.20%,-1.51
2025-08-12 15:00:00,301213,观想科技,68.48,8100,55.47,买盘,-2.20%,-1.51
2025-08-12 15:00:00,301210,金杨股份,43.74,15600,68.23,卖盘,-0.20%,-0.09
2025-08-12 15:00:00,301210,金杨股份,43.74,12900,56.42,卖盘,-0.20%,-0.09
2025-08-12 15:00:00,301209,联合化学,93.12,9600,89.4,买盘,-1.20%,-1.12
2025-08-12 15:00:00,301323,新莱福,56.98,10800,61.54,卖盘,8.47%,4.83
2025-08-12 15:00:00,301166,优宁维,33.85,17900,60.59,卖盘,-1.17%,-0.4
2025-08-12 15:00:00,301165,锐捷网络,67.62,7700,52.07,卖盘,4.19%,2.83
2025-08-12 15:00:00,301290,东星医疗,28.08,48400,135.91,买盘,-0.43%,-0.12
2025-08-12 15:00:00,301282,金禄电子,27.16,20000,54.32,卖盘,-1.24%,-0.34
2025-08-12 15:00:00,301165,锐捷网络,67.62,14208,96.07,卖盘,4.19%,2.83
2025-08-12 15:00:00,301155,海力风电,74.36,9900,73.62,买盘,1.64%,1.22
2025-08-12 15:00:00,301256,华融化学,11.61,62100,72.1,卖盘,0.09%,0.01
2025-08-12 15:00:00,301256,华融化学,11.61,52100,60.49,卖盘,0.09%,0.01
2025-08-12 15:00:00,301132,满坤科技,42.31,25300,107.04,买盘,4.91%,2.08
2025-08-12 15:00:00,301128,强瑞技术,66.59,9200,61.26,卖盘,-0.46%,-0.31
2025-08-12 15:00:00,301128,强瑞技术,66.59,10300,68.59,卖盘,-0.46%,-0.31
2025-08-12 15:00:00,301128,强瑞技术,66.59,16100,107.21,卖盘,-0.46%,-0.31
2025-08-12 15:00:00,301128,强瑞技术,66.59,7600,50.61,买盘,-0.46%,-0.31
2025-08-12 15:00:00,301252,同星科技,30.91,75159,232.32,买盘,2.38%,0.74
2025-08-12 15:00:00,301118,恒光股份,24.43,64200,156.84,买盘,-1.05%,-0.26
2025-08-12 15:00:00,301117,佳缘科技,40.68,24066,97.9,卖盘,-2.59%,-1.05
2025-08-12 15:00:00,301117,佳缘科技,40.68,38334,155.94,卖盘,-2.59%,-1.05
2025-08-12 15:00:00,301117,佳缘科技,40.68,29566,120.27,卖盘,-2.59%,-1.05
2025-08-12 15:00:00,301117,佳缘科技,40.68,34034,138.45,卖盘,-2.59%,-1.05
2025-08-12 15:00:00,301117,佳缘科技,40.68,28200,114.72,卖盘,-2.59%,-1.05
2025-08-12 15:00:00,301117,佳缘科技,40.68,17600,71.6,卖盘,-2.59%,-1.05
2025-08-12 15:00:00,301117,佳缘科技,40.68,16700,67.94,买盘,-2.59%,-1.05
2025-08-12 15:00:00,301117,佳缘科技,40.68,66600,270.93,卖盘,-2.59%,-1.05
2025-08-12 15:00:00,301117,佳缘科技,40.68,16700,67.94,卖盘,-2.59%,-1.05
2025-08-12 15:00:00,301117,佳缘科技,40.68,37066,150.78,卖盘,-2.59%,-1.05
2025-08-12 15:00:00,301117,佳缘科技,40.68,20734,84.35,卖盘,-2.59%,-1.05
2025-08-12 15:00:00,301117,佳缘科技,40.68,23766,96.68,卖盘,-2.59%,-1.05
2025-08-12 15:00:00,301117,佳缘科技,40.68,41834,170.18,卖盘,-2.59%,-1.05
2025-08-12 15:00:00,301117,佳缘科技,40.68,31600,128.55,买盘,-2.59%,-1.05
2025-08-12 15:00:00,301220,亚香股份,47.65,56900,271.13,买盘,-2.26%,-1.07
2025-08-12 15:00:00,301117,佳缘科技,40.68,20000,81.36,买盘,-2.59%,-1.05
2025-08-12 15:00:00,301099,雅创电子,39.34,14700,57.83,买盘,0.69%,0.27
2025-08-12 15:00:00,301091,深城交,33.51,38500,129.01,买盘,2.67%,0.89
2025-08-12 15:00:00,301091,深城交,33.51,33439,112.05,买盘,2.67%,0.89
2025-08-12 15:00:00,301086,鸿富瀚,59.42,14400,85.56,买盘,6.66%,3.96
2025-08-12 15:00:00,301086,鸿富瀚,59.42,8900,52.88,买盘,6.66%,3.96
2025-08-12 15:00:00,301071,力量钻石,30.49,21100,64.33,卖盘,-1.55%,-0.47
2025-08-12 15:00:00,301071,力量钻石,30.49,17700,53.97,卖盘,-1.55%,-0.47
2025-08-12 15:00:00,301069,凯盛新材,22.02,47300,104.15,卖盘,-2.74%,-0.6
2025-08-12 15:00:00,301069,凯盛新材,22.02,27100,59.67,卖盘,-2.74%,-0.6
2025-08-12 15:00:00,301069,凯盛新材,22.02,36055,79.39,卖盘,-2.74%,-0.6
2025-08-12 15:00:00,301069,凯盛新材,22.02,76900,169.33,卖盘,-2.74%,-0.6
2025-08-12 15:00:00,301216,万凯新材,15.91,76500,121.71,买盘,-2.87%,-0.46
2025-08-12 15:00:00,301069,凯盛新材,22.02,32000,70.46,卖盘,-2.74%,-0.6
2025-08-12 15:00:00,301069,凯盛新材,22.02,35400,77.95,卖盘,-2.74%,-0.6
2025-08-12 15:00:00,301208,中亦科技,49.0,10300,50.47,买盘,-0.04%,-0.02
2025-08-12 15:00:00,301208,中亦科技,49.0,24900,122.01,买盘,-0.04%,-0.02
2025-08-12 15:00:00,301069,凯盛新材,22.02,23300,51.31,买盘,-2.74%,-0.6
2025-08-12 15:00:00,301205,联特科技,97.83,5700,55.76,买盘,3.09%,3.02
2025-08-12 15:00:00,301205,联特科技,97.83,8900,87.07,卖盘,3.09%,3.02
2025-08-12 15:00:00,301205,联特科技,97.83,5300,51.85,买盘,3.09%,3.02
2025-08-12 15:00:00,301205,联特科技,97.83,6900,67.5,卖盘,3.09%,3.02
2025-08-12 15:00:00,301053,远信工业,32.32,27200,87.91,买盘,3.46%,1.12
2025-08-12 15:00:00,301027,华蓝集团,15.74,40700,64.06,买盘,0.26%,0.04
2025-08-12 15:00:00,301024,霍普股份,47.2,13700,64.66,卖盘,0.77%,0.36
2025-08-12 15:00:00,301022,海泰科,49.5,14160,70.09,买盘,3.51%,1.74
2025-08-12 15:00:00,301022,海泰科,49.5,23975,118.68,卖盘,3.51%,1.74
2025-08-12 15:00:00,301018,申菱环境,56.02,72400,405.58,买盘,13.13%,7.35
2025-08-12 15:00:00,301196,唯科科技,89.82,7900,70.96,买盘,4.20%,3.77
2025-08-12 15:00:00,301018,申菱环境,56.02,9700,54.34,买盘,13.13%,7.35
2025-08-12 15:00:00,301196,唯科科技,89.82,6100,54.79,卖盘,4.20%,3.77
2025-08-12 15:00:00,301196,唯科科技,89.82,6000,53.89,买盘,4.20%,3.77
2025-08-12 15:00:00,301187,欧圣电气,33.71,17700,59.67,买盘,0.45%,0.15
2025-08-12 15:00:00,301008,宏昌科技,24.64,25600,63.08,买盘,-2.61%,-0.64
2025-08-12 15:00:00,301005,超捷股份,54.32,13700,74.42,买盘,-2.77%,-1.51
2025-08-12 15:00:00,301005,超捷股份,54.32,15700,85.28,买盘,-2.77%,-1.51
2025-08-12 15:00:00,301005,超捷股份,54.32,11200,60.84,买盘,-2.77%,-1.51
2025-08-12 15:00:00,301005,超捷股份,54.32,32000,173.82,买盘,-2.77%,-1.51
2025-08-12 15:00:00,301005,超捷股份,54.32,27400,148.84,买盘,-2.77%,-1.51
2025-08-12 15:00:00,301005,超捷股份,54.32,16000,86.91,买盘,-2.77%,-1.51
2025-08-12 15:00:00,301005,超捷股份,54.32,15300,83.11,买盘,-2.77%,-1.51
2025-08-12 15:00:00,301005,超捷股份,54.32,14300,77.68,买盘,-2.77%,-1.51
2025-08-12 15:00:00,301005,超捷股份,54.32,9700,52.69,买盘,-2.77%,-1.51
2025-08-12 15:00:00,301005,超捷股份,54.32,28900,156.98,买盘,-2.77%,-1.51
2025-08-12 15:00:00,301005,超捷股份,54.32,15580,84.63,买盘,-2.77%,-1.51
