日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025-07-23,5.38,-1.65,-16068883.0,-2.34,-12149557.0,-1.77,-3919326.0,-0.57,-27018623.0,-3.94,43087506.0,6.28
2025-07-24,5.35,-0.56,-43939592.0,-6.16,33347231.0,4.68,-77286823.0,-10.84,49922225.0,7.0,-5982635.0,-0.84
2025-07-25,5.32,-0.56,-6122832.0,-1.43,7935753.0,1.86,-14058585.0,-3.29,5573320.0,1.3,549512.0,0.13
2025-07-28,5.32,0.0,15693953.0,6.22,18829046.0,7.47,-3135093.0,-1.24,2284.0,0.0,-15696236.0,-6.22
2025-07-29,5.31,-0.19,4751726.0,1.72,2724982.0,0.98,2026744.0,0.73,-3308390.0,-1.2,-1443335.0,-0.52
2025-07-30,5.47,3.01,176422301.0,13.6,175450797.0,13.53,971504.0,0.07,-63757280.0,-4.92,-112665019.0,-8.69
2025-07-31,5.3,-3.11,-109520255.0,-13.17,-93605757.0,-11.26,-15914498.0,-1.91,30958422.0,3.72,78561827.0,9.45
2025-08-01,5.31,0.19,16156022.0,5.62,35385778.0,12.31,-19229756.0,-6.69,-18687281.0,-6.5,2531261.0,0.88
2025-08-04,5.29,-0.38,28332376.0,10.76,22286100.0,8.47,6046276.0,2.3,-15494897.0,-5.89,-12837479.0,-4.88
2025-08-05,5.31,0.38,3584494.0,1.2,-60998.0,-0.02,3645492.0,1.22,2391344.0,0.8,-5975838.0,-2.0
2025-08-06,5.31,0.0,-4976771.0,-1.6,-17247285.0,-5.53,12270514.0,3.94,-2828244.0,-0.91,7805014.0,2.5
2025-08-07,5.33,0.38,-11295101.0,-2.89,34445202.0,8.8,-45740303.0,-11.69,6767190.0,1.73,4527912.0,1.16
2025-08-08,5.47,2.63,167708953.0,11.8,81241433.0,5.71,86467520.0,6.08,-113024208.0,-7.95,-54684736.0,-3.85
2025-08-11,5.41,-1.1,36827403.0,5.77,-22357119.0,-3.5,59184522.0,9.27,1419728.0,0.22,-38247131.0,-5.99
2025-08-12,5.4,-0.18,-159376.0,-0.04,-15935662.0,-4.22,15776286.0,4.17,-40419693.0,-10.69,40579070.0,10.73
