序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
1910,301287,康力源,42.85,0.12%,8.78%,3026.85万,3371.84万,-344.99万,6398.69万
1911,2633,申科股份,16.68,0.12%,1.97%,2495.10万,2412.71万,82.40万,4907.81万
1912,301049,超越科技,24.99,0.12%,3.69%,1815.07万,2125.55万,-310.47万,3940.62万
1913,688315,诺禾致源,16.72,0.12%,1.17%,3751.84万,4343.36万,-591.53万,8095.20万
1914,603589,口子窖,34.39,0.12%,1.25%,1.38亿,1.21亿,1720.22万,2.58亿
1915,603338,浙江鼎力,51.85,0.12%,1.09%,1.24亿,1.61亿,-3652.84万,2.85亿
1916,603008,喜临门,16.37,0.12%,1.96%,6139.12万,5775.98万,363.14万,1.19亿
1917,601901,方正证券,8.27,0.12%,0.63%,2.08亿,2.20亿,-1224.86万,4.28亿
1918,601108,财通证券,8.25,0.12%,0.63%,1.09亿,1.30亿,-2160.15万,2.39亿
1919,600793,宜宾纸业,25.83,0.12%,2.81%,5534.75万,7361.53万,-1826.78万,1.29亿
1920,600058,五矿发展,8.26,0.12%,0.62%,2728.51万,2731.56万,-3.05万,5460.07万
1921,300507,苏奥传感,8.2,0.12%,3.47%,1.09亿,1.11亿,-169.92万,2.19亿
1922,300441,鲍斯股份,8.41,0.12%,1.64%,3461.55万,5123.65万,-1662.09万,8585.19万
