序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
2147,2563,森马服饰,5.53,0.00%,0.86%,4894.48万,5610.23万,-715.75万,1.05亿
2148,2522,浙江众成,5.28,0.00%,2.62%,5615.22万,6876.61万,-1261.40万,1.25亿
2149,2498,汉缆股份,3.55,0.00%,0.69%,4050.28万,4112.19万,-61.91万,8162.48万
2150,2495,佳隆股份,2.76,0.00%,3.08%,3063.87万,2909.49万,154.38万,5973.37万
2151,2470,金正大,1.74,0.00%,0.91%,1994.95万,3218.81万,-1223.86万,5213.88万
2152,2448,中原内配,9.29,0.00%,2.92%,5960.40万,7170.20万,-1209.80万,1.31亿
2153,2395,双象股份,18.72,0.00%,1.68%,3289.07万,5116.97万,-1827.90万,8406.04万
2154,2382,蓝帆医疗,6.37,0.00%,2.77%,9267.91万,8565.59万,702.32万,1.78亿
2155,2310,东方园林,2.09,0.00%,0.65%,2113.36万,3602.29万,-1488.94万,5715.65万
2156,2252,上海莱士,6.93,0.00%,0.46%,9672.94万,1.14亿,-1689.40万,2.10亿
2157,2191,劲嘉股份,4.09,0.00%,0.78%,1798.68万,2779.52万,-980.84万,4578.20万
2158,2169,智光电气,6.64,0.00%,2.91%,7790.59万,6888.98万,901.61万,1.47亿
2159,2146,荣盛发展,1.43,0.00%,1.91%,5110.02万,5543.45万,-433.43万,1.07亿
2160,2073,软控股份,8.77,0.00%,1.52%,5777.50万,7434.49万,-1656.99万,1.32亿
2161,2042,华孚时尚,5.23,0.00%,3.18%,1.33亿,1.50亿,-1710.00万,2.84亿
2162,2035,华帝股份,6.54,0.00%,0.90%,2291.19万,2285.46万,5.72万,4576.65万
2163,2004,华邦健康,4.45,0.00%,0.77%,3168.18万,3261.86万,-93.67万,6430.03万
2164,950,重药控股,5.31,0.00%,1.25%,5370.93万,6155.38万,-784.45万,1.15亿
2165,906,浙商中拓,6.61,0.00%,1.11%,2537.04万,2609.10万,-72.06万,5146.14万
2166,883,湖北能源,4.61,0.00%,0.21%,4040.27万,2302.61万,1737.66万,6342.87万
2167,850,华茂股份,4.6,0.00%,1.42%,3063.14万,3105.01万,-41.87万,6168.14万
2168,826,启迪环境,2.02,0.00%,2.49%,3300.44万,3834.94万,-534.50万,7135.38万
2169,735,罗牛山,6.39,0.00%,1.53%,5079.64万,6178.13万,-1098.49万,1.13亿
2170,703,恒逸石化,6.0,0.00%,0.22%,2397.47万,2391.98万,5.49万,4789.45万
2171,698,沈阳化工,4.18,0.00%,1.72%,2616.76万,3039.25万,-422.49万,5656.02万
2172,685,中山公用,10.19,0.00%,0.95%,5073.55万,7001.33万,-1927.78万,1.21亿
2173,680,山推股份,10.12,0.00%,1.90%,1.14亿,1.37亿,-2317.36万,2.52亿
2174,609,ST中迪,3.19,0.00%,2.02%,736.20万,1138.29万,-402.08万,1874.49万
2175,598,兴蓉环境,7.06,0.00%,0.42%,4184.18万,4750.20万,-566.02万,8934.39万
2176,581,威孚高科,20.19,0.00%,1.77%,1.32亿,1.52亿,-2012.12万,2.84亿
2177,544,中原环保,8.62,0.00%,0.41%,1913.32万,1475.03万,438.29万,3404.30万
2178,528,柳工,11.45,0.00%,1.97%,2.06亿,2.44亿,-3813.85万,4.57亿
2179,158,常山北明,23.4,0.00%,4.33%,7.75亿,8.12亿,-3746.62万,16.04亿
2180,65,北方国际,12.05,0.00%,4.68%,2.60亿,2.86亿,-2550.88万,5.50亿
2181,300870,欧陆通,163.37,-0.01%,7.75%,6.93亿,6.56亿,3684.90万,13.49亿
2182,1279,强邦新材,40.12,-0.02%,3.01%,2265.46万,2286.73万,-21.27万,4552.19万
2183,301366,一博科技,40.29,-0.02%,7.73%,1.17亿,1.20亿,-240.34万,2.37亿
2184,2975,博杰股份,44.0,-0.02%,6.86%,1.26亿,1.90亿,-6345.00万,3.16亿
2185,301275,汉朔科技,57.41,-0.03%,4.65%,4104.06万,4323.21万,-219.14万,8427.28万
2186,301203,国泰环保,34.87,-0.03%,2.94%,1899.17万,2588.91万,-689.74万,4488.08万
2187,605133,嵘泰股份,32.14,-0.03%,1.78%,5823.45万,7946.69万,-2123.23万,1.38亿
2188,603538,美诺华,28.67,-0.03%,15.90%,4.96亿,4.77亿,1915.51万,9.74亿
2189,600600,青岛啤酒,67.95,-0.03%,0.72%,1.62亿,1.86亿,-2414.42万,3.49亿
2190,1378,德冠新材,23.71,-0.04%,1.58%,1084.47万,1462.35万,-377.88万,2546.83万
2191,603190,亚通精工,25.17,-0.04%,8.33%,3793.60万,4670.81万,-877.21万,8464.41万
2192,688088,虹软科技,48.93,-0.04%,1.21%,1.09亿,1.27亿,-1869.43万,2.36亿
2193,2653,海思科,56.95,-0.04%,0.68%,1.02亿,1.03亿,-97.52万,2.05亿
2194,301208,中亦科技,49.0,-0.04%,23.52%,2.79亿,3.04亿,-2491.35万,5.83亿
2195,603381,永臻股份,21.45,-0.05%,0.98%,1166.47万,1826.10万,-659.63万,2992.57万
2196,301283,聚胶股份,41.42,-0.05%,2.32%,1890.58万,2524.06万,-633.48万,4414.64万
2197,603207,小方制药,36.46,-0.05%,10.64%,6847.01万,8615.10万,-1768.10万,1.55亿
2198,300949,奥雅股份,42.05,-0.05%,2.52%,1609.31万,2033.68万,-424.37万,3643.00万
2199,603159,上海亚虹,21.1,-0.05%,1.58%,2168.95万,2430.19万,-261.24万,4599.14万
2200,300402,宝色股份,19.68,-0.05%,3.48%,7388.80万,9238.33万,-1849.53万,1.66亿
2201,2508,老板电器,19.47,-0.05%,0.52%,4948.41万,4579.22万,369.19万,9527.64万
2202,688038,中科通达,17.69,-0.06%,3.12%,3111.25万,3291.56万,-180.31万,6402.81万
2203,603166,福达股份,17.69,-0.06%,4.95%,2.75亿,2.87亿,-1204.16万,5.61亿
2204,603095,越剑智能,16.01,-0.06%,0.77%,1649.50万,1527.03万,122.47万,3176.53万
2205,601919,中远海控,15.66,-0.06%,0.51%,4.53亿,5.64亿,-1.11亿,10.18亿
2206,600131,国网信通,18.03,-0.06%,0.88%,8686.04万,1.03亿,-1624.32万,1.90亿
2207,300540,蜀道装备,17.29,-0.06%,1.64%,2446.87万,3284.11万,-837.23万,5730.97万
2208,678,襄阳轴承,16.12,-0.06%,5.51%,1.77亿,2.30亿,-5290.21万,4.07亿
2209,1366,播恩集团,13.5,-0.07%,6.10%,2329.97万,2261.43万,68.54万,4591.39万
2210,688060,云涌科技,42.23,-0.07%,0.66%,949.88万,726.22万,223.66万,1676.09万
2211,688298,东方生物,28.98,-0.07%,1.75%,4554.21万,5747.87万,-1193.66万,1.03亿
2212,688480,赛恩斯,43.36,-0.07%,2.02%,2332.04万,3349.01万,-1016.97万,5681.06万
2213,603235,天新药业,28.84,-0.07%,0.59%,1018.93万,1473.13万,-454.20万,2492.06万
2214,603031,安孚科技,29.7,-0.07%,2.71%,9064.94万,7951.32万,1113.63万,1.70亿
2215,603822,嘉澳环保,60.1,-0.07%,1.26%,2892.66万,2928.47万,-35.80万,5821.12万
2216,301026,浩通科技,28.08,-0.07%,6.48%,9375.91万,1.04亿,-1040.46万,1.98亿
2217,600886,国投电力,14.91,-0.07%,0.15%,8509.52万,8143.32万,366.20万,1.67亿
2218,300724,捷佳伟创,67.16,-0.07%,6.47%,5.56亿,6.89亿,-1.33亿,12.45亿
2219,2736,国信证券,13.75,-0.07%,0.32%,2.01亿,2.02亿,-82.90万,4.04亿
2220,2534,西子洁能,14.52,-0.07%,2.55%,1.23亿,1.45亿,-2262.75万,2.68亿
2221,902,新洋丰,14.03,-0.07%,1.56%,1.11亿,1.39亿,-2878.32万,2.50亿
2222,688211,中科微至,35.85,-0.08%,0.69%,1608.40万,1644.29万,-35.89万,3252.69万
2223,301102,兆讯传媒,12.09,-0.08%,4.25%,2569.24万,2622.58万,-53.34万,5191.82万
2224,429,粤高速A,12.38,-0.08%,0.40%,2365.53万,3944.38万,-1578.85万,6420.21万
2225,1308,康冠科技,23.88,-0.08%,0.90%,2415.63万,2736.03万,-320.39万,5151.67万
2226,301097,天益医疗,47.34,-0.08%,3.88%,1611.65万,1788.98万,-177.33万,3400.62万
2227,2867,周大生,13.16,-0.08%,0.33%,2473.13万,2178.80万,294.33万,4651.93万
2228,603218,日月股份,13.12,-0.08%,1.23%,8310.04万,8219.76万,90.28万,1.65亿
2229,603037,凯众股份,12.72,-0.08%,1.82%,2825.82万,3326.09万,-500.27万,6151.91万
2230,301136,招标股份,13.08,-0.08%,2.44%,3479.55万,5275.67万,-1796.12万,8755.23万
2231,2322,理工能科,12.82,-0.08%,0.88%,1809.98万,2287.26万,-477.28万,4097.25万
2232,688676,金盘科技,45.72,-0.09%,4.62%,4.71亿,5.13亿,-4220.37万,9.85亿
2233,688231,隆达股份,21.31,-0.09%,3.93%,4435.55万,6045.28万,-1609.74万,1.05亿
2234,301081,严牌股份,11.05,-0.09%,1.47%,1452.13万,2079.22万,-627.08万,3531.35万
2235,688116,天奈科技,43.01,-0.09%,2.41%,1.58亿,2.02亿,-4418.58万,3.61亿
2236,603998,方盛制药,11.35,-0.09%,5.34%,1.17亿,1.49亿,-3164.90万,2.66亿
2237,603707,健友股份,11.44,-0.09%,0.65%,5105.11万,6927.20万,-1822.10万,1.20亿
2238,603317,天味食品,11.24,-0.09%,0.36%,2244.01万,2112.62万,131.39万,4356.63万
2239,600818,中路股份,11.39,-0.09%,1.49%,1820.20万,2231.88万,-411.68万,4052.08万
2240,600648,外高桥,11.26,-0.09%,0.26%,1504.59万,1232.10万,272.49万,2736.69万
2241,600054,黄山旅游,11.75,-0.09%,1.27%,3596.99万,4052.99万,-456.00万,7649.98万
2242,300743,天地数码,21.23,-0.09%,2.50%,2853.31万,3906.72万,-1053.41万,6760.03万
2243,2953,日丰股份,11.06,-0.09%,2.30%,3216.83万,3684.73万,-467.90万,6901.56万
2244,2597,金禾实业,22.84,-0.09%,0.73%,4001.41万,5405.18万,-1403.76万,9406.59万
2245,2106,莱宝高科,10.83,-0.09%,1.55%,5430.69万,6415.11万,-984.42万,1.18亿
2246,301665,泰禾股份,30.02,-0.10%,4.56%,1992.20万,2919.61万,-927.41万,4911.81万
2247,301448,开创电气,30.18,-0.10%,2.24%,1350.34万,1873.82万,-523.48万,3224.17万
2248,300141,和顺电气,9.8,-0.10%,1.77%,2125.02万,2265.22万,-140.20万,4390.25万
2249,603307,扬州金泉,40.39,-0.10%,3.16%,1001.89万,1179.73万,-177.85万,2181.62万
2250,603055,台华新材,10.01,-0.10%,0.71%,3179.90万,3145.50万,34.39万,6325.40万
2251,603826,坤彩科技,19.54,-0.10%,0.37%,2087.82万,2603.77万,-515.96万,4691.58万
2252,603558,健盛集团,9.76,-0.10%,0.81%,1491.92万,1305.95万,185.97万,2797.87万
2253,600839,四川长虹,9.98,-0.10%,2.00%,4.24亿,4.97亿,-7326.84万,9.21亿
2254,600161,天坛生物,20.45,-0.10%,0.95%,1.48亿,2.38亿,-9037.35万,3.86亿
2255,300691,联合光电,19.97,-0.10%,2.18%,4268.01万,4856.84万,-588.83万,9124.85万
2256,300621,维业股份,9.63,-0.10%,1.95%,1840.98万,1832.69万,8.30万,3673.67万
2257,300566,激智科技,19.88,-0.10%,2.81%,5379.33万,7338.97万,-1959.64万,1.27亿
2258,2559,亚威股份,10.1,-0.10%,4.97%,1.23亿,1.29亿,-621.68万,2.51亿
2259,2387,维信诺,9.68,-0.10%,0.97%,5523.29万,7535.26万,-2011.97万,1.31亿
2260,2242,九阳股份,10.14,-0.10%,0.38%,1357.74万,1582.67万,-224.93万,2940.41万
2261,948,南天信息,20.03,-0.10%,2.33%,7868.53万,1.02亿,-2366.07万,1.81亿
2262,603049,中策橡胶,45.25,-0.11%,2.99%,5638.15万,5855.65万,-217.50万,1.15亿
2263,301150,中一科技,27.28,-0.11%,7.21%,1.05亿,1.25亿,-1992.62万,2.31亿
2264,301262,海看股份,26.78,-0.11%,1.93%,2944.25万,3360.92万,-416.67万,6305.16万
2265,301167,建研设计,17.91,-0.11%,3.65%,2230.47万,2315.45万,-84.98万,4545.92万
2266,301101,明月镜片,45.59,-0.11%,1.74%,6346.39万,8724.81万,-2378.43万,1.51亿
2267,300083,创世纪,8.9,-0.11%,3.27%,1.90亿,2.42亿,-5126.60万,4.32亿
2268,603326,我乐家居,9.2,-0.11%,1.19%,1890.39万,1613.89万,276.50万,3504.28万
2269,603456,九洲药业,18.43,-0.11%,3.72%,2.65亿,3.45亿,-8007.29万,6.10亿
2270,2612,朗姿股份,17.8,-0.11%,2.19%,4381.37万,5542.73万,-1161.36万,9924.09万
2271,2065,东华软件,9.44,-0.11%,2.23%,2.75亿,3.35亿,-5978.01万,6.10亿
2272,538,云南白药,55.95,-0.11%,0.43%,1.91亿,2.35亿,-4392.63万,4.29亿
2273,603137,恒尚节能,16.48,-0.12%,3.44%,2015.45万,2155.46万,-140.01万,4170.91万
2274,601065,江盐集团,8.57,-0.12%,0.90%,1346.80万,1854.51万,-507.71万,3201.31万
2275,301051,信濠光电,24.5,-0.12%,2.28%,4462.46万,4561.16万,-98.70万,9023.63万
2276,601921,浙版传媒,8.31,-0.12%,0.35%,3052.63万,3349.40万,-296.77万,6402.03万
2277,605588,冠石科技,51.92,-0.12%,4.10%,6753.90万,8749.17万,-1995.27万,1.55亿
2278,300899,*ST凯鑫,24.84,-0.12%,1.82%,807.61万,1035.99万,-228.38万,1843.61万
2279,603239,浙江仙通,16.01,-0.12%,1.10%,2112.45万,2641.89万,-529.45万,4754.34万
2280,600673,东阳光,15.98,-0.12%,2.41%,5.61亿,6.17亿,-5612.81万,11.78亿
2281,600329,达仁堂,42.3,-0.12%,1.90%,2.08亿,2.53亿,-4512.07万,4.61亿
2282,600191,华资实业,8.05,-0.12%,1.49%,2579.36万,3229.54万,-650.18万,5808.88万
2283,600048,保利发展,8.02,-0.12%,0.81%,3.48亿,4.34亿,-8553.55万,7.82亿
2284,300188,国投智能,16.12,-0.12%,2.93%,1.90亿,2.13亿,-2319.31万,4.03亿
2285,300144,宋城演艺,8.53,-0.12%,0.96%,8390.04万,1.10亿,-2600.65万,1.94亿
2286,300107,建新股份,8.16,-0.12%,2.50%,2957.85万,4108.98万,-1151.14万,7066.82万
2287,2658,雪迪龙,8.06,-0.12%,2.58%,3184.73万,4279.67万,-1094.94万,7464.39万
2288,156,华数传媒,8.28,-0.12%,0.56%,3682.56万,4123.24万,-440.68万,7886.61万
2289,601033,永兴股份,15.34,-0.13%,1.00%,1761.06万,1944.38万,-183.33万,3705.44万
2290,688503,聚和材料,47.55,-0.13%,2.45%,1.07亿,1.02亿,552.52万,2.09亿
2291,300999,金龙鱼,30.72,-0.13%,1.15%,8027.03万,1.11亿,-3114.09万,1.92亿
2292,300650,太龙股份,14.94,-0.13%,5.54%,5332.75万,7286.68万,-1953.93万,1.26亿
2293,2282,博深股份,7.89,-0.13%,0.94%,1891.72万,1846.45万,45.26万,3738.17万
2294,600987,航民股份,7.46,-0.13%,0.83%,2883.93万,3420.38万,-536.44万,6304.31万
2295,300339,润和软件,53.28,-0.13%,3.50%,6.99亿,7.48亿,-4942.50万,14.46亿
2296,300105,龙源技术,7.91,-0.13%,2.01%,3770.39万,4408.00万,-637.61万,8178.40万
2297,300001,特锐德,22.97,-0.13%,1.53%,1.76亿,1.88亿,-1206.46万,3.64亿
2298,3013,地铁设计,15.1,-0.13%,0.39%,1295.29万,1062.80万,232.49万,2358.09万
2299,2890,弘宇股份,15.71,-0.13%,10.12%,1.09亿,1.44亿,-3516.82万,2.52亿
2300,2367,康力电梯,7.49,-0.13%,0.95%,2434.27万,3258.28万,-824.00万,5692.55万
2301,605,渤海股份,7.45,-0.13%,1.64%,1936.56万,2369.69万,-433.13万,4306.25万
2302,338,潍柴动力,15.21,-0.13%,0.78%,2.14亿,3.72亿,-1.58亿,5.94亿
2303,301503,智迪科技,42.77,-0.14%,3.43%,2382.68万,2362.36万,20.32万,4745.04万
2304,2614,奥佳华,6.94,-0.14%,1.76%,2645.60万,2746.93万,-101.33万,5392.52万
2305,601728,中国电信,7.37,-0.14%,0.10%,2.65亿,3.29亿,-6424.56万,5.94亿
2306,688090,瑞松科技,36.4,-0.14%,3.30%,6199.31万,8503.36万,-2304.05万,1.47亿
2307,2999,天禾股份,7.29,-0.14%,1.31%,1785.60万,1492.55万,293.05万,3278.15万
2308,603693,江苏新能,13.8,-0.14%,0.76%,3817.58万,5421.95万,-1604.37万,9239.54万
2309,603658,安图生物,42.28,-0.14%,0.86%,8736.29万,1.20亿,-3268.83万,2.07亿
2310,603496,恒为科技,29.26,-0.14%,6.83%,2.88亿,3.49亿,-6084.03万,6.37亿
2311,601111,中国国航,7.29,-0.14%,0.37%,1.44亿,1.66亿,-2202.65万,3.10亿
2312,600455,博通股份,29.03,-0.14%,1.68%,1421.81万,1618.70万,-196.89万,3040.50万
2313,600359,新农开发,7.31,-0.14%,2.62%,3426.45万,3891.64万,-465.19万,7318.09万
2314,600258,首旅酒店,13.95,-0.14%,0.92%,5952.12万,8421.06万,-2468.94万,1.44亿
2315,2763,汇洁股份,7.36,-0.14%,1.12%,1224.03万,1286.49万,-62.47万,2510.52万
2316,2590,万安科技,14.1,-0.14%,1.92%,6116.77万,7298.47万,-1181.69万,1.34亿
2317,936,华西股份,7.31,-0.14%,1.55%,5427.52万,4637.53万,789.99万,1.01亿
2318,869,张裕A,21.71,-0.14%,0.30%,1505.48万,1456.38万,49.10万,2961.87万
2319,2,万科A,6.47,-0.15%,0.76%,2.18亿,2.51亿,-3235.29万,4.76亿
2320,1225,和泰机电,40.89,-0.15%,7.08%,2539.71万,3632.93万,-1093.22万,6172.63万
2321,605577,龙版传媒,13.5,-0.15%,0.86%,2458.92万,2709.41万,-250.49万,5168.32万
2322,928,中钢国际,6.61,-0.15%,2.25%,1.06亿,1.08亿,-227.96万,2.13亿
2323,300822,贝仕达克,19.33,-0.15%,1.11%,3119.99万,3069.60万,50.38万,6189.59万
2324,688057,金达莱,13.69,-0.15%,1.27%,2409.86万,2372.08万,37.78万,4781.94万
2325,300640,德艺文创,6.86,-0.15%,4.50%,3200.97万,3597.99万,-397.02万,6798.96万
2326,300951,博硕科技,34.42,-0.15%,1.30%,3248.57万,3530.06万,-281.49万,6778.64万
2327,600918,中泰证券,6.88,-0.15%,0.54%,6707.81万,7910.53万,-1202.71万,1.46亿
2328,601077,渝农商行,6.76,-0.15%,0.63%,1.66亿,2.11亿,-4507.46万,3.76亿
2329,601801,皖新传媒,6.84,-0.15%,0.40%,2416.30万,2933.38万,-517.08万,5349.68万
2330,541,佛山照明,6.48,-0.15%,0.91%,2664.74万,4553.64万,-1888.90万,7278.59万
2331,300310,宜通世纪,6.6,-0.15%,2.88%,6272.98万,6822.42万,-549.44万,1.31亿
2332,300124,汇川技术,65.4,-0.15%,0.70%,4.98亿,5.91亿,-9274.93万,10.89亿
2333,2591,恒大高新,6.61,-0.15%,3.42%,2634.37万,2422.39万,211.98万,5056.76万
2334,2412,汉森制药,6.87,-0.15%,2.01%,3291.11万,3630.48万,-339.37万,6921.59万
2335,2274,华昌化工,6.83,-0.15%,0.74%,1642.72万,3106.94万,-1464.22万,4749.66万
2336,2101,广东鸿图,13.0,-0.15%,1.02%,3934.95万,4836.65万,-901.70万,8771.60万
2337,1211,双枪科技,25.11,-0.16%,2.47%,1962.05万,2192.77万,-230.72万,4154.82万
2338,301379,天山电子,25.48,-0.16%,3.46%,4805.69万,6300.58万,-1494.89万,1.11亿
2339,301238,瑞泰新材,18.96,-0.16%,1.01%,6661.33万,7333.89万,-672.56万,1.40亿
2340,603255,鼎际得,32.12,-0.16%,2.05%,1734.60万,2244.46万,-509.86万,3979.06万
2341,605007,五洲特纸,12.32,-0.16%,0.53%,1146.05万,1473.23万,-327.18万,2619.28万
2342,300869,康泰医学,18.49,-0.16%,6.56%,1.50亿,1.62亿,-1177.58万,3.12亿
2343,300868,杰美特,31.2,-0.16%,2.06%,2305.66万,2827.77万,-522.11万,5133.44万
2344,603682,锦和商管,6.17,-0.16%,1.10%,1372.24万,1831.83万,-459.58万,3204.07万
2345,603885,吉祥航空,12.55,-0.16%,0.49%,6990.27万,6511.32万,478.95万,1.35亿
2346,603535,嘉诚国际,12.61,-0.16%,2.16%,5447.35万,7596.15万,-2148.80万,1.30亿
2347,603029,天鹅股份,18.9,-0.16%,1.65%,2131.88万,1657.90万,473.98万,3789.77万
2348,601169,北京银行,6.44,-0.16%,0.39%,2.69亿,2.70亿,-106.00万,5.38亿
2349,600822,上海物贸,12.18,-0.16%,3.27%,6818.46万,8885.31万,-2066.86万,1.57亿
2350,600755,厦门国贸,6.27,-0.16%,0.99%,5001.90万,8182.70万,-3180.80万,1.32亿
2351,600722,金牛化工,6.14,-0.16%,2.21%,3737.83万,5454.58万,-1716.76万,9192.41万
2352,600573,惠泉啤酒,12.3,-0.16%,0.88%,1294.32万,1400.92万,-106.60万,2695.24万
2353,600236,桂冠电力,6.4,-0.16%,0.08%,1685.94万,2212.19万,-526.25万,3898.14万
2354,600210,紫江企业,6.36,-0.16%,0.85%,3707.53万,4515.00万,-807.47万,8222.54万
2355,300765,新诺威,50.31,-0.16%,0.43%,1.22亿,1.46亿,-2384.19万,2.68亿
2356,300750,宁德时代,263.25,-0.16%,0.52%,28.08亿,30.21亿,-2.13亿,58.29亿
2357,300359,全通教育,6.27,-0.16%,2.58%,4717.24万,5508.26万,-791.02万,1.02亿
2358,2144,宏达高科,12.65,-0.16%,3.93%,3352.55万,3475.02万,-122.47万,6827.58万
2359,2012,凯恩股份,6.37,-0.16%,6.99%,8798.38万,1.18亿,-3042.50万,2.06亿
2360,975,山金国际,18.41,-0.16%,1.00%,2.34亿,2.34亿,-40.07万,4.68亿
2361,300800,力合科技,12.39,-0.16%,1.85%,2483.85万,2916.29万,-432.44万,5400.51万
2362,30,富奥股份,6.16,-0.16%,0.40%,1961.90万,2173.15万,-211.25万,4150.50万
2363,688638,誉辰智能,40.5,-0.17%,1.91%,745.63万,1285.82万,-540.18万,2031.45万
2364,1226,拓山重工,36.3,-0.17%,3.07%,3081.88万,5173.13万,-2091.26万,8255.37万
2365,570,苏常柴A,6.04,-0.17%,1.35%,2097.44万,2438.44万,-341.00万,4535.88万
2366,603221,爱丽家居,11.51,-0.17%,1.95%,2742.20万,2719.61万,22.59万,5461.82万
2367,603933,睿能科技,17.12,-0.17%,1.91%,3116.09万,3639.63万,-523.53万,6755.73万
2368,603311,金海高科,12.05,-0.17%,1.47%,2113.13万,2057.24万,55.89万,4170.37万
2369,603277,银都股份,17.24,-0.17%,0.28%,1201.50万,1702.44万,-500.94万,2903.94万
2370,603117,万林物流,5.85,-0.17%,0.80%,1250.27万,1555.02万,-304.74万,2805.29万
2371,601222,林洋能源,5.8,-0.17%,0.53%,2555.50万,3731.10万,-1175.60万,6286.60万
2372,600285,羚锐制药,23.18,-0.17%,1.36%,9111.16万,8881.94万,229.22万,1.80亿
2373,600249,两面针,5.9,-0.17%,2.15%,3614.84万,3377.99万,236.85万,6992.82万
2374,300759,康龙化成,28.96,-0.17%,2.62%,4.56亿,6.14亿,-1.57亿,10.70亿
2375,300568,星源材质,12.07,-0.17%,3.25%,2.15亿,2.58亿,-4279.98万,4.73亿
2376,300385,雪浪环境,5.82,-0.17%,1.68%,1472.27万,1351.08万,121.19万,2823.35万
2377,300035,中科电气,17.56,-0.17%,6.29%,2.93亿,3.46亿,-5287.98万,6.40亿
2378,2556,辉隆股份,5.95,-0.17%,1.31%,3563.77万,3711.05万,-147.28万,7274.83万
2379,2432,九安医疗,40.05,-0.17%,2.35%,1.92亿,2.30亿,-3820.70万,4.23亿
2380,2296,辉煌科技,11.82,-0.17%,3.77%,6986.37万,8449.28万,-1462.90万,1.54亿
2381,498,山东路桥,6.04,-0.17%,0.85%,2987.14万,4371.28万,-1384.14万,7419.54万
2382,688359,三孚新科,65.98,-0.18%,2.00%,5388.90万,7574.29万,-2185.39万,1.30亿
2383,301168,通灵股份,39.92,-0.18%,2.17%,3707.04万,4507.13万,-800.09万,8214.17万
2384,2701,奥瑞金,5.48,-0.18%,0.63%,4162.66万,4712.28万,-549.62万,8874.94万
2385,300976,达瑞电子,60.99,-0.18%,3.33%,8292.43万,8945.64万,-653.20万,1.72亿
2386,301362,民爆光电,44.0,-0.18%,4.42%,2965.20万,2797.38万,167.82万,5762.58万
2387,603866,桃李面包,5.57,-0.18%,0.61%,2173.65万,3230.56万,-1056.91万,5404.22万
2388,603369,今世缘,39.82,-0.18%,0.92%,1.99亿,2.60亿,-6145.91万,4.59亿
2389,601668,中国建筑,5.65,-0.18%,0.40%,4.33亿,4.97亿,-6461.58万,9.30亿
2390,600650,锦江在线,16.39,-0.18%,2.34%,5666.36万,9312.75万,-3646.39万,1.50亿
2391,600027,华电国际,5.4,-0.18%,0.82%,1.62亿,2.16亿,-5495.84万,3.78亿
2392,300486,东杰智能,16.25,-0.18%,13.23%,4.54亿,5.01亿,-4619.65万,9.55亿
2393,600854,春兰股份,5.59,-0.18%,1.27%,1402.63万,2298.20万,-895.57万,3700.82万
2394,2871,伟隆股份,11.19,-0.18%,3.63%,3021.03万,3232.57万,-211.54万,6253.60万
2395,2494,华斯股份,5.42,-0.18%,2.48%,2131.66万,1738.57万,393.09万,3870.22万
2396,677,恒天海龙,5.49,-0.18%,1.86%,2971.80万,5790.90万,-2819.10万,8762.69万
2397,657,中钨高新,16.59,-0.18%,6.74%,6.42亿,7.60亿,-1.18亿,14.02亿
2398,688391,钜泉科技,32.12,-0.19%,1.93%,1623.97万,1910.71万,-286.74万,3534.68万
2399,300052,ST中青宝,10.48,-0.19%,2.38%,3094.14万,3460.94万,-366.80万,6555.08万
2400,605033,美邦股份,21.45,-0.19%,2.07%,2559.99万,3421.95万,-861.96万,5981.93万
2401,300928,华安鑫创,35.96,-0.19%,2.49%,2436.35万,2308.67万,127.68万,4745.01万
2402,601229,上海银行,10.31,-0.19%,0.28%,2.05亿,2.12亿,-734.81万,4.18亿
2403,600998,九州通,5.36,-0.19%,0.53%,7238.60万,7240.01万,-1.41万,1.45亿
2404,600789,鲁抗医药,10.27,-0.19%,3.56%,1.46亿,1.84亿,-3738.15万,3.30亿
2405,600199,金种子酒,10.53,-0.19%,1.96%,6845.75万,6766.06万,79.69万,1.36亿
2406,600063,皖维高新,5.3,-0.19%,1.20%,5334.71万,6875.64万,-1540.93万,1.22亿
2407,600023,浙能电力,5.21,-0.19%,0.26%,3954.76万,1.41亿,-1.01亿,1.80亿
2408,600009,上海机场,31.84,-0.19%,0.47%,1.24亿,1.66亿,-4188.57万,2.89亿
2409,300375,鹏翎股份,5.26,-0.19%,3.77%,4455.66万,5535.69万,-1080.03万,9991.37万
2410,300230,永利股份,5.15,-0.19%,2.40%,3383.36万,4424.19万,-1040.83万,7807.54万
2411,2659,凯文教育,5.27,-0.19%,1.99%,2549.53万,3717.72万,-1168.19万,6267.25万
2412,2116,中国海诚,10.68,-0.19%,0.91%,2077.58万,2371.16万,-293.58万,4448.74万
2413,875,吉电股份,5.23,-0.19%,0.69%,5082.97万,7003.46万,-1920.49万,1.21亿
2414,860,顺鑫农业,15.91,-0.19%,1.35%,7935.46万,8056.14万,-120.67万,1.60亿
2415,300957,贝泰妮,45.52,-0.20%,0.72%,6098.18万,7903.65万,-1805.47万,1.40亿
2416,2692,远程股份,5.1,-0.20%,1.25%,1804.03万,2747.85万,-943.82万,4551.88万
2417,301190,善水科技,25.0,-0.20%,1.42%,3028.61万,2625.73万,402.88万,5654.34万
2418,605500,森林包装,9.91,-0.20%,1.57%,2498.85万,3940.32万,-1441.47万,6439.17万
2419,605333,沪光股份,34.18,-0.20%,0.84%,6016.43万,6535.80万,-519.37万,1.26亿
