序号,代码,名称,最新价,今日排行榜-主力净占比,今日排行榜-今日排名,今日排行榜-今日涨跌,5日排行榜-主力净占比,5日排行榜-5日排名,5日排行榜-5日涨跌,10日排行榜-主力净占比,10日排行榜-10日排名,10日排行榜-10日涨跌,所属板块
3931,300070,碧水源,4.6,6.22,686.0,-1.08,-2.93,3143,0.0,-5.78,4658,-3.97,环保行业
3932,001207,联科科技,26.51,-7.56,3688.0,-1.08,-0.97,2130,1.07,-2.78,3056,8.51,橡胶制品
3933,605167,利柏特,10.95,-7.97,3780.0,-1.08,-1.39,2330,0.74,-7.13,5042,-0.9,专用设备
3934,300210,森远股份,10.94,-14.08,4858.0,-1.08,-11.22,5054,-2.76,-8.13,4951,-0.09,环保行业
3935,688084,晶品特装,98.79,9.42,354.0,-1.08,-3.81,3595,-5.91,-3.8,3753,0.85,专用设备
3936,300886,华业香料,29.43,-2.35,2391.0,-1.08,-9.51,5175,0.44,-8.23,5229,-0.54,美容护理
3937,300610,晨化股份,12.65,-11.66,4508.0,-1.09,-2.41,2869,2.43,-3.09,3272,3.86,塑料制品
3938,003022,联泓新科,16.4,-10.6,4331.0,-1.09,-2.45,2892,0.61,-3.59,3622,-0.79,化学制品
3939,002085,万丰奥威,16.34,-23.3,5422.0,-1.09,-9.08,5128,-1.45,-7.71,5143,-3.43,汽车零部件
3940,600052,东望时代,4.54,-11.29,4447.0,-1.09,-8.29,5007,-2.37,-2.09,2611,4.85,公用事业
3941,000839,国安股份,2.73,-16.71,5106.0,-1.09,1.57,1027,2.63,-3.74,3717,-0.36,综合行业
3942,600599,*ST熊猫,8.15,-10.88,4378.0,-1.09,5.45,211,5.84,0.64,1024,4.89,化学制品
3943,600746,江苏索普,8.19,-19.69,5322.0,-1.09,-6.95,4726,0.99,-4.62,4167,-0.97,化学原料
3944,000652,泰达股份,4.52,-12.54,4637.0,-1.09,-4.76,4032,1.8,-3.72,3703,1.12,综合行业
3945,300550,和仁科技,13.66,-21.61,5368.0,-1.09,-10.3,5251,-1.23,-8.5,5267,1.04,软件开发
3946,002952,亚世光电,20.95,-1.81,2263.0,-1.09,-3.9,3647,-0.24,-4.09,3915,-0.29,光学光电子
3947,002090,金智科技,10.01,-7.94,3768.0,-1.09,-11.28,5327,0.1,-9.99,5377,0.2,电网设备
3948,300296,利亚德,6.37,-5.4,3125.0,-1.09,-2.1,2699,3.24,-3.38,3470,2.41,光学光电子
3949,003043,华亚智能,45.2,-8.89,4003.0,-1.09,-0.97,2132,-1.42,-2.95,3187,4.05,通用设备
3950,300451,创业慧康,5.44,-5.07,3046.0,-1.09,-13.21,5421,-8.72,-6.46,4868,-6.85,软件开发
3951,300187,永清环保,5.44,-0.33,1816.0,-1.09,0.17,1496,-0.37,-6.16,4778,-0.37,环保行业
3952,300978,东箭科技,11.76,-6.42,3387.0,-1.09,-1.17,2233,-0.68,-2.99,3217,1.55,汽车零部件
3953,300469,信息发展,43.09,-0.79,2003.0,-1.1,-8.57,5049,-3.49,-7.07,5027,-8.14,软件开发
3954,300931,通用电梯,8.98,0.43,1690.0,-1.1,1.06,1244,0.79,0.97,863,7.42,专用设备
3955,600959,江苏有线,3.6,-10.03,4230.0,-1.1,-4.16,3572,-1.1,-3.45,3315,0.56,文化传媒
3956,301395,仁信新材,12.54,-9.28,4081.0,-1.1,0.15,1611,3.13,-0.19,1428,6.09,化学原料
3957,301082,久盛电气,18.91,-9.29,4083.0,-1.1,-10.94,5308,-3.13,-3.15,3316,-1.41,电网设备
3958,603261,*ST立航,21.58,-6.68,3450.0,-1.1,2.11,861,0.37,1.78,607,6.83,航天航空
3959,301317,鑫磊股份,35.94,-15.8,5038.0,-1.1,-7.64,4889,-5.87,-2.49,2855,1.81,通用设备
3960,603171,税友股份,48.67,-11.13,4425.0,-1.1,-2.76,3054,-2.52,0.93,884,-1.34,互联网服务
3961,300073,当升科技,42.24,-12.0,4566.0,-1.1,-6.28,4545,1.03,-7.78,5152,-2.76,电池
3962,688141,杰华特,29.55,-0.76,1998.0,-1.1,2.0,890,-3.43,0.8,938,-3.75,半导体
3963,300521,爱司凯,25.9,-1.22,2109.0,-1.11,0.28,1555,2.49,-0.3,1486,7.38,专用设备
3964,300413,芒果超媒,22.23,-8.88,3996.0,-1.11,2.41,783,0.45,-1.43,2160,-1.2,文化传媒
3965,300034,钢研高纳,17.8,-12.53,4634.0,-1.11,-1.96,2632,0.28,-4.12,3927,-0.67,有色金属
3966,002161,远 望 谷,8.0,-10.07,4234.0,-1.11,-2.77,2878,3.9,-3.8,3538,2.17,电子元件
3967,301159,三维天地,38.18,-7.44,3655.0,-1.11,-3.51,3461,-0.13,-2.51,2873,1.57,软件开发
3968,300658,延江股份,7.15,4.37,963.0,-1.11,-1.14,2215,0.42,-1.98,2517,-2.32,美容护理
3969,300022,吉峰科技,8.89,1.51,1478.0,-1.11,-5.12,4165,-0.22,-1.3,2069,6.21,工程机械
3970,000733,振华科技,49.8,-8.7,3950.0,-1.11,2.52,756,2.6,1.01,848,1.61,电子元件
3971,300903,科翔股份,12.42,-5.75,3218.0,-1.11,-0.9,2076,4.37,-1.32,2083,1.55,电子元件
3972,603276,恒兴新材,17.85,-4.25,2854.0,-1.11,-2.82,3095,-0.83,1.65,638,3.6,化学原料
3973,002271,东方雨虹,12.5,-5.22,3071.0,-1.11,-5.45,4271,0.16,-0.66,1689,0.56,装修建材
3974,003018,金富科技,12.51,-5.21,3070.0,-1.11,-6.78,4685,0.81,-3.38,3476,4.69,塑料制品
