日期,获利比例,平均成本,90成本-低,90成本-高,90集中度,70成本-低,70成本-高,70集中度
2025-07-01,0.7466337709675028,6.96,6.33,8.13,0.1243986701090288,6.41,7.89,0.10370599889205001
2025-07-02,0.7327784501080914,6.96,6.33,8.13,0.1243986701090288,6.41,7.87,0.1027160656292446
2025-07-03,0.6941396715745864,6.96,6.33,8.13,0.1243986701090288,6.41,7.87,0.1027160656292446
2025-07-04,0.7199076101463898,6.96,6.33,8.13,0.1243986701090288,6.41,7.87,0.1027160656292446
2025-07-07,0.6689367267769151,6.96,6.33,8.13,0.1243986701090288,6.41,7.87,0.1027160656292446
2025-07-08,0.6572018509773337,6.96,6.33,8.13,0.1243986701090288,6.41,7.87,0.1027160656292446
2025-07-09,0.7077732100629508,6.96,6.33,8.13,0.1243986701090288,6.41,7.87,0.1027160656292446
2025-07-10,0.7070353376692469,6.97,6.33,8.13,0.1243986701090288,6.41,7.87,0.1027160656292446
2025-07-11,0.6098666368979551,6.97,6.33,8.13,0.1243986701090288,6.41,7.87,0.1027160656292446
2025-07-14,0.6532654623769015,6.97,6.33,8.13,0.1243986701090288,6.41,7.87,0.1027160656292446
2025-07-15,0.693933531502545,6.97,6.33,8.13,0.1243986701090288,6.41,7.87,0.1027160656292446
2025-07-16,0.6656865252173202,6.97,6.33,8.13,0.1243986701090288,6.41,7.87,0.1027160656292446
2025-07-17,0.6245708575035841,6.97,6.33,8.13,0.1243986701090288,6.41,7.87,0.1027160656292446
2025-07-18,0.6419731649767463,6.97,6.33,8.13,0.1243986701090288,6.41,7.87,0.1027160656292446
2025-07-21,0.6312264356321142,6.97,6.33,8.13,0.1243986701090288,6.41,7.87,0.1027160656292446
2025-07-22,0.6220671292346123,6.97,6.33,8.13,0.1243986701090288,6.41,7.87,0.1027160656292446
2025-07-23,0.6212215722965002,6.99,6.33,8.13,0.1243986701090288,6.41,7.87,0.1027160656292446
2025-07-24,0.6015496797109033,6.99,6.33,8.13,0.1243986701090288,6.41,7.87,0.1027160656292446
2025-07-25,0.572282284488276,6.99,6.33,8.13,0.1243986701090288,6.41,7.87,0.1027160656292446
2025-07-28,0.5658045655711232,6.99,6.33,8.13,0.1243986701090288,6.41,7.87,0.1027160656292446
2025-07-29,0.5762692248845929,6.99,6.33,8.13,0.1243986701090288,6.41,7.87,0.1027160656292446
2025-07-30,0.5956159713983861,6.99,6.33,8.13,0.1243986701090288,6.41,7.87,0.1027160656292446
2025-07-31,0.5967272256105629,7.01,6.33,8.13,0.1243986701090288,6.41,7.87,0.1027160656292446
2025-08-01,0.5871503909864287,7.01,6.33,8.13,0.1243986701090288,6.41,7.87,0.1027160656292446
2025-08-04,0.5709495526101356,7.01,6.33,8.13,0.1243986701090288,6.41,7.86,0.10172394323785147
2025-08-05,0.5738345661589853,7.01,6.33,8.13,0.1243986701090288,6.41,7.86,0.10172394323785147
2025-08-06,0.5620348275911774,7.01,6.33,8.13,0.1243986701090288,6.41,7.86,0.10172394323785147
2025-08-07,0.5543916782714642,7.01,6.33,8.13,0.1243986701090288,6.41,7.86,0.10172394323785147
2025-08-08,0.5697046065115541,7.02,6.33,8.13,0.1243986701090288,6.41,7.86,0.10172394323785147
2025-08-11,0.5694480777918349,7.02,6.33,8.13,0.1243986701090288,6.41,7.86,0.10172394323785147
2025-08-12,0.5685295579433124,7.02,6.33,8.13,0.1243986701090288,6.41,7.86,0.10172394323785147
