序号,股票代码,股票简称,资产-货币资金,资产-应收账款,资产-存货,资产-总资产,资产-总资产同比,负债-应付账款,负债-预收账款,负债-总负债,负债-总负债同比,资产负债率,股东权益合计,公告日期
91,300690,双一科技,345882715.19,479536073.78,204796621.68,1969593946.5,11.3899790032,194358146.35,1664.1,430802247.93,20.7683770811,21.8726427696,1538791698.57,2025-08-09
92,300453,三鑫医疗,215582883.36,83141400.74,196390620.74,2245710557.75,10.0581486955,213767066.23,,811974080.52,11.4880832353,36.1566666603,1433736477.23,2025-08-09
93,300421,力星股份,158711820.66,383430721.78,322793319.48,1977498687.68,11.3458231151,173837081.47,,721626285.2,42.5449395233,36.4918717618,1255872402.48,2025-08-09
94,300221,银禧科技,82348924.86,627315956.37,280932172.05,2286573760.35,6.2957815238,288977722.63,,876163513.74,7.4694297545,38.3177454816,1410410246.61,2025-08-09
95,300146,汤臣倍健,2869597310.71,504221556.85,550706672.77,13596636941.4,2.2517141265,264143281.88,46600.06,2323929559.28,18.886262738,17.0919439071,11272707382.12,2025-08-09
96,300042,朗科科技,596013121.73,76890103.49,201229717.8,1194909420.41,-13.2868964855,55071578.58,0.0,191090696.46,-28.7746767704,15.9920654399,1003818723.95,2025-08-09
97,002962,五方光电,961670732.54,168071896.64,185498577.77,2056200618.14,-0.1095326414,140023836.89,547408.98,292826621.73,20.1544808198,14.2411503599,1763373996.41,2025-08-09
98,002882,金龙羽,811978016.24,1502364881.17,936628891.25,4537480653.33,38.9111732864,81709383.02,,2446088087.3,108.9884382709,53.9085072573,2091392566.03,2025-08-09
99,002820,桂发祥,396386076.74,13727065.92,40371140.17,955317520.95,-3.4401539608,15522798.52,1322576.6,68241201.92,-7.0679229057,7.1433005701,887076319.03,2025-08-09
100,002519,银河电子,288677888.63,604189474.93,732051601.92,3351710938.22,-20.2190205343,180442169.68,,1044682396.9,4.4303009397,31.1686304743,2307028541.32,2025-08-09
101,002465,海格通信,2541253822.67,5710792957.2,1458268653.6,20127970154.29,3.8700727602,2630437158.06,9880232.77,7136868483.1,18.2622426206,35.4574675359,12991101671.19,2025-08-09
102,002173,创新医疗,249045212.83,74886592.5,29748742.63,2154289877.85,-3.9441267264,174414919.5,152083.34,388382966.52,0.216305942,18.0283521969,1765906911.33,2025-08-09
103,688768,容知日新,201319304.37,441054875.76,112748264.8,1268075436.54,22.7467111074,88866073.78,,235955433.78,-0.3029062093,18.6073656961,1032120002.76,2025-08-08
104,688585,上纬新材,277348778.02,461998415.54,205930984.96,2067255867.42,13.6300178284,299110036.26,,745630873.35,28.8804024951,36.0686301634,1321624994.07,2025-08-08
105,688581,安杰思,1333375463.07,60064956.17,58070367.2,2646347943.77,14.1988178437,41875941.13,,219327982.57,127.6736617631,8.2879495528,2427019961.2,2025-08-08
106,688519,南亚新材,523205376.64,2102375257.57,529998945.61,5616988637.8,24.5054049501,1174779473.89,,3034382881.86,47.4993527711,54.0215242993,2582605755.94,2025-08-08
107,688368,晶丰明源,242383106.32,256267616.5,276359910.2,1988774080.02,-8.9263826358,129653378.56,,841667900.01,10.1336526223,42.3209407477,1147106180.01,2025-08-08
108,688091,上海谊众,533478215.29,96578616.5,57631218.17,1494180638.52,-2.6963034611,26124264.63,,46805887.79,-38.0211593062,3.1325454623,1447374750.73,2025-08-08
109,603558,健盛集团,339889804.23,510939250.39,705478395.24,3761170134.7,1.1829524121,146255892.14,4574383.38,1337545197.92,3.4306606317,35.5619434915,2423624936.78,2025-08-08
