序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
4762,688198,佰仁医疗,120.29,-1.84,-2.26,11300.0,137857673.0,5.34,125.6,119.06,122.31,122.55,1.22,0.82,127.44,14.01,16569722919.0,16569722919.0,-0.02,-0.03,10.26,11.16
4763,300858,科拓生物,19.79,-1.84,-0.37,127887.0,254710128.51,3.77,20.4,19.64,20.0,20.16,0.53,6.75,64.13,2.94,5214568385.0,3751262855.0,0.1,0.15,37.05,39.07
4764,002912,中新赛克,28.22,-1.84,-0.53,77082.0,217584710.02,2.57,28.74,28.0,28.74,28.75,0.66,4.75,-30.44,3.0,4818621440.0,4577905150.0,0.04,-0.04,22.59,11.15
4765,688697,纽威数控,15.5,-1.84,-0.29,81697.0,126310690.0,3.74,15.85,15.26,15.8,15.79,0.58,1.79,28.88,4.42,7088667390.0,7088667390.0,0.0,0.06,15.5,35.25
4766,603011,合锻智能,15.46,-1.84,-0.29,247940.0,383141642.0,2.73,15.73,15.3,15.72,15.75,1.08,5.01,258.5,3.55,7643647196.0,7643647196.0,-0.13,0.0,20.22,125.69
4767,301185,鸥玛软件,20.78,-1.84,-0.39,66436.0,138500739.0,2.55,21.2,20.66,21.07,21.17,0.59,4.75,81.72,3.08,3188017728.0,2904642177.0,0.0,0.1,12.93,23.84
4768,300559,佳发教育,12.81,-1.84,-0.24,78867.0,101260967.76,2.38,13.01,12.7,13.01,13.05,0.75,2.53,-127.45,4.47,5117781603.0,3985662831.0,-0.23,-0.23,17.52,8.47
4769,301108,洁雅股份,27.09,-1.85,-0.51,18363.0,49880911.22,3.19,27.75,26.87,27.62,27.6,0.73,2.84,75.75,1.67,3049148867.0,1751522859.0,-0.04,0.3,18.87,47.87
4770,300777,中简科技,37.18,-1.85,-0.7,121410.0,452438903.58,2.72,37.99,36.96,37.8,37.88,0.7,2.87,36.06,3.74,16348326226.0,15750015404.0,-0.03,0.16,5.45,32.45
4771,603976,正川股份,22.31,-1.85,-0.42,33898.0,76510127.0,3.78,23.13,22.27,22.73,22.73,0.65,2.24,77.27,2.88,3373318896.0,3373318896.0,0.0,0.04,27.7,39.87
4772,300945,曼卡龙,19.58,-1.85,-0.37,141820.0,279078977.09,2.36,19.97,19.5,19.78,19.95,0.59,5.95,29.82,3.16,5131362496.0,4666560081.0,0.05,0.05,17.53,72.51
4773,605128,上海沿浦,37.9,-1.86,-0.72,78496.0,295149365.0,4.32,38.62,36.95,38.62,38.62,1.27,3.72,51.29,3.94,8002156957.0,8002156957.0,-0.13,0.13,26.25,54.0
4774,300265,通光线缆,10.0,-1.86,-0.19,142457.0,143164188.0,2.65,10.23,9.96,10.21,10.19,0.79,3.11,205.15,2.08,4583004490.0,4580008240.0,-0.2,-0.1,15.87,22.25
